ranking;player_id;player_name
1;4920;Novak Djokovic
2;4742;Rafael Nadal
3;3819;Roger Federer
4;6219;Dominic Thiem
5;6407;Daniil Medvedev
6;644;Alexander Zverev
7;5442;Kei Nishikori
8;26578;Stefanos Tsitsipas
9;11547;Karen Khachanov
10;5131;Roberto Bautista Agut
11;4921;Fabio Fognini
12;6418;Borna Coric
13;4789;Gael Monfils
14;4544;John Isner
15;5663;David Goffin
16;5216;Juan Martin Del Potro
17;4728;Kevin Anderson
18;5918;Nikoloz Basilashvili
19;44826;Felix Auger Aliassime
20;5539;Guido Pella
21;6029;Diego Sebastian Schwartzman
22;5670;Milos Raonic
23;5220;Marin Cilic
24;4526;Stan Wawrinka
25;26414;Matteo Berrettini
26;6284;Lucas Pouille
27;26007;Taylor Harry Fritz
28;5571;Dusan Lajovic
29;6387;Nick Kyrgios
30;5324;Benoit Paire
31;6364;Kyle Edmund
32;6412;Christian Garin
33;4269;Fernando Verdasco
34;4752;Richard Gasquet
35;5515;Jan Lennard Struff
36;45107;Alex De Minaur
37;11485;Laslo Djere
38;33215;Denis Shapovalov
39;4467;Gilles Simon
40;5420;Radu Albot
41;27835;Hubert Hurkacz
42;24021;Reilly Opelka
43;5303;Joao Sousa
44;5055;Mikhail Kukushkin
45;5718;Pierre Hugues Herbert
46;5016;Sam Querrey
47;25898;Andrey Rublev
48;32068;Lorenzo Sonego
49;45001;Miomir Kecmanovic
50;5070;Albert Ramos
51;5922;Filip Krajinovic
52;26011;Frances Tiafoe
53;4654;Pablo Cuevas
54;34555;Casper Ruud
55;11415;Jordan Thompson
56;6214;Juan Ignacio Londero
57;5166;Adrian Mannarino
58;5543;Daniel Evans
59;6401;Yoshihito Nishioka
60;11787;Cameron Norrie
61;5349;John Millman
62;44831;Ugo Humbert
63;3852;Feliciano Lopez
64;5793;Pablo Carreno Busta
65;5902;Marton Fucsovics
66;4541;Jo Wilfried Tsonga
67;6051;Marco Cecchinato
68;5630;Federico Delbonis
69;11769;Nicolas Jarry
70;5564;Ricardas Berankis
71;4664;Pablo Andujar
72;4259;Philipp Kohlschreiber
73;5801;Tennys Sandgren
74;4868;Jeremy Chardy
75;22171;Alexander Bublik
76;6134;Roberto Carballes Baena
77;4311;Andreas Seppi
78;5763;Grigor Dimitrov
79;3333;Ivo Karlovic
80;5370;Aljaz Bedene
81;5868;Stefano Travaglia
82;5438;Steve Johnson
83;44670;Corentin Moutet
84;5364;Martin Klizan
85;6184;Hugo Dellien
86;6057;Bernard Tomic
87;5333;Thomas Fabbiano
88;5367;Peter Gojowczyk
89;5422;Prajnesh Gunneswaran
90;26755;Soon Woo Kwon
91;4716;Marcel Granollers
92;11762;Brayden Schnur
93;4914;Leonardo Mayer
94;11766;Kamil Majchrzak
95;11429;Mackenzie Mcdonald
96;5644;Marius Copil
97;44495;Jaume Munar
98;25960;Antonie Hoang
99;44526;Lloyd George Muirhead Harris
100;6315;Thiago Monteiro
101;4606;Tomas Berdych
