ranking;player_id;player_name
1;4920;Novak Djokovic
2;4742;Rafael Nadal
3;3819;Roger Federer
4;6219;Dominic Thiem
5;26578;Stefanos Tsitsipas
6;5442;Kei Nishikori
7;644;Alexander Zverev
8;11547;Karen Khachanov
9;6407;Daniil Medvedev
10;4728;Kevin Anderson
11;4921;Fabio Fognini
12;5216;Juan Martin Del Potro
13;5131;Roberto Bautista Agut
14;6418;Borna Coric
15;4544;John Isner
16;5220;Marin Cilic
17;5918;Nikoloz Basilashvili
18;5663;David Goffin
19;5670;Milos Raonic
20;4789;Gael Monfils
21;44826;Felix Auger Aliassime
22;4526;Stan Wawrinka
23;6029;Diego Sebastian Schwartzman
24;5539;Guido Pella
25;26007;Taylor Harry Fritz
26;26414;Matteo Berrettini
27;6387;Nick Kyrgios
28;5571;Dusan Lajovic
29;5324;Benoit Paire
30;6284;Lucas Pouille
31;4269;Fernando Verdasco
32;33215;Denis Shapovalov
33;6364;Kyle Edmund
34;4467;Gilles Simon
35;5515;Jan Lennard Struff
36;6412;Christian Garin
37;11485;Laslo Djere
38;45107;Alex De Minaur
39;5420;Radu Albot
40;5718;Pierre Hugues Herbert
41;5016;Sam Querrey
42;26011;Frances Tiafoe
43;24021;Reilly Opelka
44;5055;Mikhail Kukushkin
45;5303;Joao Sousa
46;11415;Jordan Thompson
47;32068;Lorenzo Sonego
48;27835;Hubert Hurkacz
49;4654;Pablo Cuevas
50;5793;Pablo Carreno Busta
51;5922;Filip Krajinovic
52;5070;Albert Ramos
53;5543;Daniel Evans
54;5763;Grigor Dimitrov
55;5902;Marton Fucsovics
56;34555;Casper Ruud
57;6214;Juan Ignacio Londero
58;45001;Miomir Kecmanovic
59;44831;Ugo Humbert
60;4541;Jo Wilfried Tsonga
61;6051;Marco Cecchinato
62;11787;Cameron Norrie
63;5630;Federico Delbonis
64;11769;Nicolas Jarry
65;5349;John Millman
66;4752;Richard Gasquet
67;3852;Feliciano Lopez
68;4664;Pablo Andujar
69;5166;Adrian Mannarino
70;25898;Andrey Rublev
71;22171;Alexander Bublik
72;5801;Tennys Sandgren
73;4259;Philipp Kohlschreiber
74;4868;Jeremy Chardy
75;6134;Roberto Carballes Baena
76;6401;Yoshihito Nishioka
77;5564;Ricardas Berankis
78;4311;Andreas Seppi
79;5868;Stefano Travaglia
80;5364;Martin Klizan
81;3333;Ivo Karlovic
82;4914;Leonardo Mayer
83;44670;Corentin Moutet
84;5333;Thomas Fabbiano
85;5367;Peter Gojowczyk
86;4894;Robin Haase
87;45439;Alexei Popyrin
88;5644;Marius Copil
89;6184;Hugo Dellien
90;5422;Prajnesh Gunneswaran
91;5370;Aljaz Bedene
92;5602;Bradley Klahn
93;5438;Steve Johnson
94;44526;Lloyd George Muirhead Harris
95;6057;Bernard Tomic
96;11429;Mackenzie Mcdonald
97;26755;Soon Woo Kwon
98;11762;Brayden Schnur
99;4716;Marcel Granollers
100;11766;Kamil Majchrzak
101;44495;Jaume Munar
