title;location;date;players;surface;court_type;prize;winner
Brisbane;Brisbane, Australia;2017.01.01;28;Hard;Outdoor;$495,630;Grigor Dimitrov
Doha;Doha, Qatar;2017.01.02;32;Hard;Outdoor;$1,334,270;Novak Djokovic
Chennai;Chennai, India;2017.01.02;28;Hard;Outdoor;$505,730;Roberto Bautista Agut
Sydney;Sydney, Australia;2017.01.08;28;Hard;Outdoor;$495,630;Gilles Muller
Auckland;Auckland, New Zealand;2017.01.09;28;Hard;Outdoor;$508,360;Jack Sock
Australian Open;Melbourne, Australia;2017.01.16;128;Hard;Outdoor;A$22,624,000;Roger Federer
Montpellier;Montpellier, France;2017.02.06;28;Hard;Indoor;€540,310;Alexander Zverev
Quito;Quito, Ecuador;2017.02.06;28;Clay;Outdoor;$540,310;Victor Estrella Burgos
Sofia;Sofia, Bulgaria;2017.02.06;28;Hard;Indoor;€540,310;Grigor Dimitrov
Rotterdam;Rotterdam, Netherlands;2017.02.13;32;Hard;Indoor;€1,854,365;Jo-Wilfried Tsonga
Memphis;Memphis, United States;2017.02.13;28;Hard;Indoor;$720,410;Ryan Harrison
Buenos Aires;Buenos Aires, Argentina;2017.02.13;28;Clay;Outdoor;$624,340;Alexandr Dolgopolov
Rio de Janeiro;Rio de Janeiro, Brazil;2017.02.20;32;Clay;Outdoor;$1,603,940;Dominic Thiem
Marseille;Marseille, France;2017.02.20;28;Hard;Indoor;€691,850;Jo-Wilfried Tsonga
Delray Beach;Delray Beach, United States;2017.02.20;32;Hard;Outdoor;$599,345;Jack Sock
Dubai;Dubai, United Arab Emirates;2017.02.27;32;Hard;Outdoor;$2,858,530;Andy Murray
Acapulco;Acapulco, Mexico;2017.02.27;32;Hard;Outdoor;$1,633,690;Sam Querrey
Sao Paulo;Sao Paulo, Brazil;2017.02.27;28;Clay;Outdoor;$520,285;Pablo Cuevas
ATP World Tour Masters 1000 Indian Wells;Indian Wells, United States;2017.03.09;96;Hard;Outdoor;$7,913,405;Roger Federer
ATP World Tour Masters 1000 Miami;Miami, United States;2017.03.22;96;Hard;Outdoor;$7,913,405;Roger Federer
Houston;Houston, United States;2017.04.10;28;Clay;Outdoor;$600,345;Steve Johnson
Marrakech;Marrakech, Morocco;2017.04.10;28;Clay;Outdoor;€540,310;Borna Coric
ATP World Tour Masters 1000 Monte Carlo;Monte Carlo, Monaco;2017.04.16;56;Clay;Outdoor;€4,629,725;Rafael Nadal
Barcelona;Barcelona, Spain;2017.04.24;48;Clay;Outdoor;€2,604,340;Rafael Nadal
Budapest;Budapest, Hungary;2017.04.24;28;Clay;Outdoor;€540,310;Lucas Pouille
Estoril;Estoril, Portugal;2017.05.01;28;Clay;Outdoor;€540,310;Pablo Carreno Busta
Munich;Munich, Germany;2017.05.01;28;Clay;Outdoor;€540,310;Alexander Zverev
Istanbul;Istanbul, Turkey;2017.05.01;28;Clay;Outdoor;€497,255;Marin Cilic
ATP World Tour Masters 1000 Madrid;Madrid, Spain;2017.05.07;56;Clay;Outdoor;€6,408,230;Rafael Nadal
ATP World Tour Masters 1000 Rome;Rome, Italy;2017.05.14;56;Clay;Outdoor;€4,835,975;Alexander Zverev
Geneva;Geneva, Switzerland;2017.05.21;28;Clay;Outdoor;€540,310;Stan Wawrinka
Lyon;Lyon, France;2017.05.21;28;Clay;Outdoor;€540,310;Jo-Wilfried Tsonga
Roland Garros;Paris, France;2017.05.28;128;Clay;Outdoor;€16,790,000;Rafael Nadal
Stuttgart;Stuttgart, Germany;2017.06.12;28;Grass;Outdoor;€701,975;Lucas Pouille
s-Hertogenbosch;s-Hertogenbosch, Netherlands;2017.06.12;28;Grass;Outdoor;€660,375;Gilles Muller
Halle;Halle, Germany;2017.06.19;32;Grass;Outdoor;€1,966,095;Roger Federer
London / Queen's Club;London, Great Britain;2017.06.19;32;Grass;Outdoor;€1,966,095;Feliciano Lopez
Antalya;Antalya, Turkey;2017.06.25;28;Grass;Outdoor;€497,255;Yuichi Sugita
Eastbourne;Eastbourne, Great Britain;2017.06.26;28;Grass;Outdoor;€693,910;Novak Djokovic
Wimbledon;London, Great Britain;2017.07.03;128;Grass;Outdoor;£14,840,000;Roger Federer
Newport;Newport, United States;2017.07.17;28;Grass;Outdoor;$600,345;John Isner
Bastad;Bastad, Sweden;2017.07.17;28;Clay;Outdoor;€540,310;David Ferrer
Umag;Umag, Croatia;2017.07.17;28;Clay;Outdoor;€540,310;Andrey Rublev
Hamburg;Hamburg, Germany;2017.07.24;32;Clay;Outdoor;€1,629,375;Leonardo Mayer
Atlanta;Atlanta, United States;2017.07.24;28;Hard;Outdoor;$720,410;John Isner
Gstaad;Gstaad, Switzerland;2017.07.24;28;Clay;Outdoor;€540,310;Fabio Fognini
Washington;Washington, United States;2017.07.31;48;Hard;Outdoor;$2,002,460;Alexander Zverev
Los Cabos;Los Cabos, Mexico;2017.07.31;28;Hard;Outdoor;$727,995;Sam Querrey
Kitzbühel;Kitzbuhel, Austria;2017.07.31;28;Clay;Outdoor;€540,310;Philipp Kohlschreiber
ATP World Tour Masters 1000 Canada;Montreal, Canada;2017.08.07;56;Hard;Outdoor;$5,275,595;Alexander Zverev
ATP World Tour Masters 1000 Cincinnati;Cincinnati, United States;2017.08.13;56;Hard;Outdoor;$5,627,305;Grigor Dimitrov
Winston-Salem;Winston-Salem, United States;2017.08.20;48;Hard;Outdoor;$748,960;Roberto Bautista Agut
US Open;New York, United States;2017.08.28;128;Hard;Outdoor;$24,193,400;Rafael Nadal
St. Petersburg;St. Petersburg, Russia;2017.09.18;28;Hard;Indoor;$1,064,715;Damir Dzumhur
Metz;Metz, France;2017.09.18;28;Hard;Indoor;€540,310;Peter Gojowczyk
Chengdu;Chengdu, China;2017.09.25;28;Hard;Outdoor;$1,138,910;Denis Istomin
Shenzhen;Shenzhen, China;2017.09.25;28;Hard;Outdoor;$731,680;David Goffin
Beijing;Beijing, China;2017.10.02;32;Hard;Outdoor;$4,280,460;Rafael Nadal
Tokyo;Tokyo, Japan;2017.10.02;32;Hard;Outdoor;$1,706,175;David Goffin
ATP World Tour Masters 1000 Shanghai;Shanghai, China;2017.10.08;56;Hard;Outdoor;$8,092,625;Roger Federer
Moscow;Moscow, Russia;2017.10.16;28;Hard;Indoor;$823,600;Damir Dzumhur
Antwerp;Antwerp, Belgium;2017.10.16;28;Hard;Indoor;€660,375;Jo-Wilfried Tsonga
Stockholm;Stockholm, Sweden;2017.10.16;28;Hard;Indoor;€660,375;Juan Martin del Potro
Vienna;Vienna, Austria;2017.10.23;32;Hard;Indoor;€2,621,850;Lucas Pouille
Basel;Basel, Switzerland;2017.10.23;32;Hard;Indoor;€2,291,860;Roger Federer
ATP World Tour Masters 1000 Paris;Paris, France;2017.10.30;48;Hard;Indoor;€4,835,975;Jack Sock
Next Gen ATP Finals;Milan, Italy;2017.11.07;8;Hard;Indoor;$1,275,000;Hyeon Chung
Nitto ATP Finals;London, Great Britain;2017.11.12;8;Hard;Indoor;$8,000,000;Grigor Dimitrov
Brisbane;Brisbane, Australia;2017.12.31;28;Hard;Outdoor;$528,910;Nick Kyrgios
Doha;Doha, Qatar;2018.01.01;32;Hard;Outdoor;$1,386,665;Gael Monfils
Pune;Pune, India;2018.01.01;28;Hard;Outdoor;$561,345;Gilles Simon
Sydney;Sydney, Australia;2018.01.07;28;Hard;Outdoor;$528,910;Daniil Medvedev
Auckland;Auckland, New Zealand;2018.01.08;28;Hard;Outdoor;$561,345;Roberto Bautista Agut
Australian Open;Melbourne, Australia;2018.01.15;128;Hard;Outdoor;A$25,096,000;Roger Federer
Montpellier;Montpellier, France;2018.02.05;28;Hard;Indoor;€561,345;Lucas Pouille
Quito;Quito, Ecuador;2018.02.05;28;Clay;Outdoor;$561,345;Roberto Carballes Baena
Sofia;Sofia, Bulgaria;2018.02.05;28;Hard;Indoor;€561,345;Mirza Basic
Rotterdam;Rotterdam, Netherlands;2018.02.12;32;Hard;Indoor;€1,996,245;Roger Federer
New York;New York, United States;2018.02.12;28;Hard;Indoor;$748,450;Kevin Anderson
Buenos Aires;Buenos Aires, Argentina;2018.02.12;28;Clay;Outdoor;$648,180;Dominic Thiem
Rio de Janeiro;Rio de Janeiro, Brazil;2018.02.19;32;Clay;Outdoor;$1,842,475;Diego Schwartzman
Marseille;Marseille, France;2018.02.19;28;Hard;Indoor;€718,810;Karen Khachanov
Delray Beach;Delray Beach, United States;2018.02.19;32;Hard;Outdoor;$622,675;Frances Tiafoe
Dubai;Dubai, United Arab Emirates;2018.02.26;32;Hard;Outdoor;$3,057,135;Roberto Bautista Agut
