title;location;date;players;surface;court_type;prize;winner
ATP Masters Series Paris;Paris;2000.11.13;48;Carpet;Indoor;$2,950,000;Marat Safin
Stockholm;Stockholm;2000.11.20;32;Hard;Indoor;$800,000;Thomas Johansson
Brighton;Brighton;2000.11.20;32;Hard;Indoor;$400,000;Tim Henman
Tennis Masters Cup;;2000.11.27;8;Hard;Indoor;$3,700,000;Gustavo Kuerten
Doubles Championship;Bangalore;2000.12.11;0;Hard;Outdoor;$750,000;
Doha;Doha;2001.01.01;32;Hard;Outdoor;$1,000,000;Marcelo Rios
Chennai;Chennai;2001.01.01;32;Hard;Outdoor;$400,000;Michal Tabara
Adelaide;Adelaide;2001.01.01;32;Hard;Outdoor;$375,000;Tommy Haas
Sydney;Sydney;2001.01.08;32;Hard;Outdoor;$400,000;Lleyton Hewitt
Auckland;Auckland;2001.01.08;32;Hard;Outdoor;$375,000;Dominik Hrbaty
Australian Open;Melbourne;2001.01.15;128;Hard;Outdoor;$3,568,313;Andre Agassi
Bogota;Bogota;2001.01.28;32;Clay;Outdoor;$375,000;Fernando Vicente
Milan;Milan;2001.01.29;32;Carpet;Indoor;$400,000;Roger Federer
Marseille;Marseille;2001.02.12;32;Hard;Indoor;$500,000;Yevgeny Kafelnikov
Vina del Mar;Vina Del Mar;2001.02.12;32;Clay;Outdoor;$375,000;Guillermo Coria
Copenhagen;Copenhagen;2001.02.12;32;Hard;Indoor;$350,000;Tim Henman
Rotterdam;Rotterdam;2001.02.19;32;Hard;Indoor;$850,000;Nicolas Escude
Memphis;Memphis;2001.02.19;48;Hard;Indoor;$800,000;Mark Philippoussis
Buenos Aires;Buenos Aires;2001.02.19;32;Clay;Outdoor;$600,000;Gustavo Kuerten
Dubai;Dubai;2001.02.26;32;Hard;Outdoor;$1,000,000;Juan Carlos Ferrero
Acapulco;Acapulco;2001.02.26;32;Clay;Outdoor;$800,000;Gustavo Kuerten
San Jose;San Jose;2001.02.26;32;Hard;Indoor;$400,000;Greg Rusedski
Scottsdale;Scottsdale;2001.03.05;32;Hard;Outdoor;$400,000;Francisco Clavet
Delray Beach;Delray Beach;2001.03.05;32;Hard;Outdoor;$350,000;Jan-Michael Gambill
ATP Masters Series Indian Wells;Indian Wells;2001.03.12;64;Hard;Outdoor;$2,950,000;Andre Agassi
ATP Masters Series Miami;Miami;2001.03.19;96;Hard;Outdoor;$3,400,000;Andre Agassi
Estoril;Estoril;2001.04.09;32;Clay;Outdoor;$625,000;Juan Carlos Ferrero
Casablanca;Casablanca;2001.04.09;32;Clay;Outdoor;$350,000;Guillermo Canas
ATP Masters Series Monte Carlo;Monte Carlo;2001.04.16;64;Clay;Outdoor;$2,950,000;Gustavo Kuerten
Barcelona;Barcelona;2001.04.23;56;Clay;Outdoor;$1,000,000;Juan Carlos Ferrero
Atlanta;Atlanta;2001.04.23;32;Clay;Outdoor;$400,000;Andy Roddick
Mallorca;Mallorca;2001.04.30;32;Clay;Outdoor;$500,000;Alberto Martin
Munich;Munich;2001.04.30;32;Clay;Outdoor;$400,000;Jiri Novak
Houston;Houston;2001.04.30;32;Clay;Outdoor;$350,000;Andy Roddick
ATP Masters Series Rome;Rome;2001.05.07;64;Clay;Outdoor;$2,950,000;Juan Carlos Ferrero
ATP Masters Series Hamburg;Hamburg;2001.05.14;64;Clay;Outdoor;$2,950,000;Albert Portas
World Team Cup;Dusseldorf;2001.05.21;64;Clay;Outdoor;$1,900,000;Lleyton Hewitt
St. Poelten;St. Poelten;2001.05.21;32;Clay;Outdoor;$425,000;Andrea Gaudenzi
Roland Garros;Paris;2001.05.28;128;Clay;Outdoor;$4,700,806;Gustavo Kuerten
Halle;Halle;2001.06.11;32;Grass;Outdoor;$1,000,000;Thomas Johansson
London / Queen's Club;London;2001.06.11;56;Grass;Outdoor;$800,000;Lleyton Hewitt
Nottingham;Nottingham;2001.06.18;32;Grass;Outdoor;$400,000;Thomas Johansson
's-Hertogenbosch;s-Hertogenbosch;2001.06.18;32;Grass;Outdoor;$400,000;Lleyton Hewitt
Wimbledon;London;2001.06.25;128;Grass;Outdoor;$5,476,164;Goran Ivanisevic
Gstaad;Gstaad;2001.07.09;32;Clay;Outdoor;$600,000;Jiri Novak
Bastad;Bastad;2001.07.09;32;Clay;Outdoor;$400,000;Andrea Gaudenzi
Newport;Newport;2001.07.09;32;Grass;Outdoor;$400,000;Neville Godwin
Stuttgart;Stuttgart;2001.07.16;48;Clay;Outdoor;$800,000;Gustavo Kuerten
Amsterdam;Amsterdam;2001.07.16;32;Clay;Outdoor;$400,000;Alex Corretja
Umag;Umag;2001.07.16;32;Clay;Outdoor;$400,000;Carlos Moya
Kitzbuhel;Kitzbuhel;2001.07.23;48;Clay;Outdoor;$900,000;Nicolas Lapentti
Los Angeles;Los Angeles;2001.07.23;32;Hard;Outdoor;$400,000;Andre Agassi
Sopot - WS;Sopot;2001.07.23;32;Clay;Outdoor;$400,000;Tommy Robredo
ATP Masters Series Canada;Montreal;2001.07.30;64;Hard;Outdoor;$2,950,000;Andrei Pavel
ATP Masters Series Cincinnati;Cincinnati;2001.08.06;64;Hard;Outdoor;$2,950,000;Gustavo Kuerten
Indianapolis;Indianapolis;2001.08.13;56;Hard;Outdoor;$800,000;Patrick Rafter
Washington;Washington;2001.08.13;56;Hard;Outdoor;$800,000;Andy Roddick
Long Island;Long Island;2001.08.20;32;Hard;Outdoor;$415,200;Tommy Haas
US Open;New York;2001.08.27;128;Hard;Outdoor;$6,578,000;Lleyton Hewitt
Tashkent;Tashkent;2001.09.10;32;Hard;Outdoor;$550,000;Marat Safin
Bucharest;Bucharest;2001.09.10;32;Clay;Outdoor;$400,000;Younes El Aynaoui
Sao Paulo;Sao Paulo;2001.09.10;32;Clay;Outdoor;$375,000;Jan Vacek
Shanghai;Shanghai;2001.09.17;32;Hard;Outdoor;$400,000;Rainer Schuettler
Hong Kong;Hong Kong;2001.09.24;32;Hard;Outdoor;$400,000;Marcelo Rios
Palermo;Palermo;2001.09.24;32;Clay;Outdoor;$400,000;Felix Mantilla
Moscow;Moscow;2001.10.01;32;Carpet;Indoor;$1,000,000;Yevgeny Kafelnikov
Tokyo;Tokyo;2001.10.01;56;Hard;Outdoor;$800,000;Lleyton Hewitt
Lyon;Lyon;2001.10.08;32;Carpet;Indoor;$800,000;Ivan Ljubicic
Vienna;Vienna;2001.10.08;32;Hard;Indoor;$800,000;Tommy Haas
ATP Masters Series Stuttgart;Stuttgart;2001.10.15;48;Hard;Indoor;$2,950,000;Tommy Haas
Basel;Basel;2001.10.22;32;Carpet;Indoor;$1,000,000;Tim Henman
St. Petersburg;St. Petersburg;2001.10.22;32;Hard;Indoor;$800,000;Marat Safin
Stockholm;Stockholm;2001.10.22;32;Hard;Indoor;$800,000;Sjeng Schalken
ATP World Tour Masters 1000 Paris;Paris;2001.10.29;48;Hard;Indoor;$2,950,000;Sebastien Grosjean
Tennis Masters Cup;;2001.11.12;8;Hard;Indoor;$3,700,000;Lleyton Hewitt
ATP Doubles Challenge Cup;Bangalore;2002.01.29;0;Hard;Outdoor;$750,000;
Doha;Doha;2001.12.31;32;Hard;Outdoor;$1,000,000;Younes El Aynaoui
Chennai;Chennai;2001.12.31;32;Hard;Outdoor;$400,000;Guillermo Canas
Adelaide;Adelaide;2001.12.31;32;Hard;Outdoor;$357,000;Tim Henman
Sydney;Sydney;2002.01.07;32;Hard;Outdoor;$381,000;Roger Federer
Auckland;Auckland;2002.01.07;32;Hard;Outdoor;$357,000;Greg Rusedski
Australian Open;Melbourne;2002.01.14;128;Hard;Outdoor;$3,927,210;Thomas Johansson
Milan;Milan;2002.01.28;32;Carpet;Indoor;$381,000;Davide Sanguinetti
Marseille;Marseille;2002.02.11;32;Hard;Indoor;$476,000;Thomas Enqvist
Copenhagen;Copenhagen;2002.02.11;32;Hard;Indoor;$381,000;Lars Burgsmuller
Vina del Mar;Vina Del Mar;2002.02.11;32;Clay;Outdoor;$381,000;Fernando Gonzalez
Rotterdam;Rotterdam;2002.02.18;32;Hard;Indoor;$738,000;Nicolas Escude
Memphis;Memphis;2002.02.18;32;Hard;Indoor;$725,000;Andy Roddick
Buenos Aires;Buenos Aires;2002.02.18;32;Clay;Outdoor;$425,000;Nicolas Massu
Dubai;Dubai;2002.02.25;32;Hard;Outdoor;$925,000;Fabrice Santoro
Acapulco;Acapulco;2002.02.25;32;Clay;Outdoor;$725,000;Carlos Moya
San Jose;San Jose;2002.02.25;32;Hard;Indoor;$400,000;Lleyton Hewitt
Delray Beach;Delray Beach;2002.03.04;32;Hard;Outdoor;$400,000;Davide Sanguinetti
Scottsdale;Scottsdale;2002.03.04;32;Hard;Outdoor;$400,000;Andre Agassi
ATP Masters Series Indian Wells;Indian Wells;2002.03.11;64;Hard;Outdoor;$2,950,000;Lleyton Hewitt
ATP Masters Series Miami;Miami;2002.03.18;96;Hard;Outdoor;$3,575,000;Andre Agassi
Estoril;Estoril;2002.04.08;32;Clay;Outdoor;$600,000;David Nalbandian
Casablanca;Casablanca;2002.04.08;32;Clay;Outdoor;$381,000;Younes El Aynaoui
ATP Masters Series Monte Carlo;Monte Carlo;2002.04.15;64;Clay;Outdoor;$2,950,000;Juan Carlos Ferrero
Barcelona;Barcelona;2002.04.22;56;Clay;Outdoor;$955,000;Gaston Gaudio
Houston;Houston;2002.04.22;32;Clay;Outdoor;$400,000;Andy Roddick
Mallorca;Mallorca;2002.04.29;32;Clay;Outdoor;$381,000;Gaston Gaudio
Munich;Munich;2002.04.29;32;Clay;Outdoor;$381,000;Younes El Aynaoui
ATP Masters Series Rome;Rome;2002.05.06;64;Clay;Outdoor;$2,950,000;Andre Agassi
ATP Masters Series Hamburg;Hamburg;2002.05.13;64;Clay;Outdoor;$2,950,000;Roger Federer
World Team Cup;Dusseldorf;2002.05.20;64;Clay;Outdoor;$2,100,000;Jose Acasuso
St. Poelten;St. Poelten;2002.05.20;32;Clay;Outdoor;$381,000;Nicolas Lapentti
Roland Garros;Paris;2002.05.27;128;Clay;Outdoor;$5,268,536;Albert Costa
Halle;Halle;2002.06.10;32;Grass;Outdoor;$951,000;Yevgeny Kafelnikov
London / Queen's Club;London;2002.06.10;56;Grass;Outdoor;$761,000;Lleyton Hewitt
Nottingham;Nottingham;2002.06.17;32;Grass;Outdoor;$381,000;Jonas Bjorkman
's-Hertogenbosch;s-Hertogenbosch;2002.06.17;32;Grass;Outdoor;$381,000;Sjeng Schalken
Wimbledon;London;2002.06.24;128;Grass;Outdoor;$6,061,152;Lleyton Hewitt
Gstaad;Gstaad;2002.07.08;32;Clay;Outdoor;$600,000;Alex Corretja
Newport;Newport;2002.07.08;32;Grass;Outdoor;$400,000;Taylor Dent
Bastad;Bastad;2002.07.08;32;Clay;Outdoor;$381,000;Carlos Moya
Stuttgart;Stuttgart;2002.07.15;32;Clay;Outdoor;$500,000;Mikhail Youzhny
Amersfoort;Amersfoort;2002.07.15;32;Clay;Outdoor;$381,000;Juan Ignacio Chela
Umag;Umag;2002.07.15;32;Clay;Outdoor;$381,000;Carlos Moya
Kitzbuhel;Kitzbuhel;2002.07.22;48;Clay;Outdoor;$880,000;Alex Corretja
Los Angeles;Los Angeles;2002.07.22;32;Hard;Outdoor;$400,000;Andre Agassi
Sopot;Sopot;2002.07.22;32;Clay;Outdoor;$381,000;Jose Acasuso
ATP Masters Series Canada;Toronto;2002.07.29;64;Hard;Outdoor;$2,950,000;Guillermo Canas
ATP Masters Series Cincinnati;Cincinnati;2002.08.05;64;Hard;Outdoor;$2,950,000;Carlos Moya
Indianapolis;Indianapolis;2002.08.12;56;Hard;Outdoor;$800,000;Greg Rusedski
Washington;Washington;2002.08.12;56;Hard;Outdoor;$800,000;James Blake
Long Island;Long Island;2002.08.19;48;Hard;Outdoor;$480,000;Paradorn Srichaphan
US Open;New York;2002.08.26;128;Hard;Outdoor;$6,883,000;Pete Sampras
Sao Paulo;Sao Paulo;2002.09.09;32;Clay;Outdoor;$571,000;Gustavo Kuerten
Tashkent;Tashkent;2002.09.09;32;Hard;Outdoor;$550,000;Yevgeny Kafelnikov
Bucharest;Bucharest;2002.09.09;32;Clay;Outdoor;$381,000;David Ferrer
Hong Kong;Hong Kong;2002.09.23;32;Hard;Outdoor;$400,000;Juan Carlos Ferrero
Palermo;Palermo;2002.09.23;32;Clay;Outdoor;$381,000;Fernando Gonzalez
Moscow;Moscow;2002.09.30;32;Carpet;Indoor;$1,000,000;Paul-Henri Mathieu
Tokyo;Tokyo;2002.09.30;56;Hard;Outdoor;$800,000;Kenneth Carlsen
Vienna;Vienna;2002.10.07;32;Hard;Indoor;$765,000;Roger Federer
Lyon;Lyon;2002.10.07;32;Carpet;Indoor;$761,000;Paul-Henri Mathieu
ATP Masters Series Madrid;Madrid;2002.10.14;48;Hard;Indoor;$2,950,000;Andre Agassi
Basel;Basel;2002.10.21;32;Carpet;Indoor;$1,000,000;David Nalbandian
St. Petersburg;St. Petersburg;2002.10.21;32;Hard;Indoor;$1,000,000;Sebastien Grosjean
Stockholm;Stockholm;2002.10.21;32;Hard;Indoor;$650,000;Paradorn Srichaphan
ATP World Tour Masters 1000 Paris;Paris;2002.10.28;48;Carpet;Indoor;$2,950,000;Marat Safin
Tennis Masters Cup;;2002.11.11;8;Hard;Indoor;$3,700,000;Lleyton Hewitt
Doha;Doha;2002.12.30;32;Hard;Outdoor;$1,000,000;Stefan Koubek
Chennai;Chennai;2002.12.30;32;Hard;Outdoor;$380,000;Paradorn Srichaphan
Adelaide;Adelaide;2002.12.30;32;Hard;Outdoor;$347,000;Nikolay Davydenko
Auckland;Auckland;2003.01.06;32;Hard;Outdoor;$347,000;Gustavo Kuerten
Sydney;Sydney;2003.01.06;32;Hard;Outdoor;$347,000;Hyung-Taik Lee
Australian Open;Melbourne;2003.01.13;128;Hard;Outdoor;$4,861,502;Andre Agassi
Milan;Milan;2003.01.27;32;Carpet;Indoor;$380,000;Martin Verkerk
Marseille;Marseille;2003.02.10;32;Hard;Indoor;$500,000;Roger Federer
San Jose;San Jose;2003.02.10;32;Hard;Indoor;$380,000;Andre Agassi
Viña del Mar;Vina Del Mar;2003.02.10;32;Clay;Outdoor;$345,000;David Sanchez
Rotterdam;Rotterdam;2003.02.17;32;Hard;Indoor;$825,000;Max Mirnyi
Memphis;Memphis;2003.02.17;32;Hard;Indoor;$690,000;Taylor Dent
Buenos Aires;Buenos Aires;2003.02.17;32;Clay;Outdoor;$380,000;Carlos Moya
Dubai;Dubai;2003.02.24;32;Hard;Outdoor;$1,000,000;Roger Federer
Acapulco;Acapulco;2003.02.24;32;Clay;Outdoor;$690,000;Agustin Calleri
Copenhagen;Copenhagen;2003.02.24;32;Hard;Indoor;$380,000;Karol Kucera
Delray Beach;Delray Beach;2003.03.03;32;Hard;Outdoor;$380,000;Jan-Michael Gambill
Scottsdale;Scottsdale;2003.03.03;32;Hard;Outdoor;$380,000;Lleyton Hewitt
ATP Masters Series Indian Wells;Indian Wells;2003.03.10;64;Hard;Outdoor;$2,450,000;Lleyton Hewitt
ATP Masters Series Miami;Miami;2003.03.17;96;Hard;Outdoor;$3,250,000;Andre Agassi
Estoril;Estoril;2003.04.07;32;Clay;Outdoor;$525,000;Nikolay Davydenko
Casablanca;Casablanca;2003.04.07;32;Clay;Outdoor;$400,000;Julien Boutter
ATP Masters Series Monte Carlo;Monte Carlo;2003.04.14;64;Clay;Outdoor;$2,450,000;Juan Carlos Ferrero
Barcelona;Barcelona;2003.04.21;56;Clay;Outdoor;$1,000,000;Carlos Moya
Houston;Houston;2003.04.21;32;Clay;Outdoor;$380,000;Andre Agassi
Valencia;Valencia;2003.04.28;32;Clay;Outdoor;$400,000;Juan Carlos Ferrero
Munich;Munich;2003.04.28;32;Clay;Outdoor;$380,000;Roger Federer
ATP Masters Series Rome;Rome;2003.05.05;64;Clay;Outdoor;$2,450,000;Felix Mantilla
ATP Masters Series Hamburg;Hamburg;2003.05.12;64;Clay;Outdoor;$2,450,000;Guillermo Coria
World Team Championship;Dusseldorf;2003.05.19;64;Clay;Outdoor;$1,850,000;Fernando Gonzalez
St. Poelten;St. Poelten;2003.05.19;32;Clay;Outdoor;$380,000;Andy Roddick
Roland Garros;Paris;2003.05.26;128;Clay;Outdoor;$7,202,717;Juan Carlos Ferrero
London / Queen's Club;London;2003.06.09;56;Grass;Outdoor;$800,000;Andy Roddick
Halle;Halle;2003.06.09;32;Grass;Outdoor;$775,000;Roger Federer
Nottingham;Nottingham;2003.06.16;32;Grass;Outdoor;$380,000;Greg Rusedski
's-Hertogenbosch;s-Hertogenbosch;2003.06.16;32;Grass;Outdoor;$380,000;Sjeng Schalken
Wimbledon;London;2003.06.23;128;Grass;Outdoor;$7,229,232;Roger Federer
Gstaad;Gstaad;2003.07.07;32;Clay;Outdoor;$550,000;Jiri Novak
Bastad;Bastad;2003.07.07;32;Clay;Outdoor;$380,000;Mariano Zabaleta
Newport;Newport;2003.07.07;32;Grass;Outdoor;$380,000;Robby Ginepri
Stuttgart;Stuttgart;2003.07.14;48;Clay;Outdoor;$765,000;Guillermo Coria
Amersfoort;Amersfoort;2003.07.14;32;Clay;Outdoor;$380,000;Nicolas Massu
Kitzbuhel;Kitzbuhel;2003.07.21;48;Clay;Outdoor;$925,000;Guillermo Coria
Indianapolis;Indianapolis;2003.07.21;48;Hard;Outdoor;$600,000;Andy Roddick
Umag;Umag;2003.07.21;32;Clay;Outdoor;$400,000;Carlos Moya
Washington;Washington;2003.07.28;48;Hard;Outdoor;$600,000;Tim Henman
Sopot;Sopot;2003.07.28;32;Clay;Outdoor;$500,000;Guillermo Coria
Los Angeles;Los Angeles;2003.07.28;32;Hard;Outdoor;$380,000;Wayne Ferreira
ATP Masters Series Canada;Montreal;2003.08.04;64;Hard;Outdoor;$2,450,000;Andy Roddick
ATP Masters Series Cincinnati;Cincinnati;2003.08.11;64;Hard;Outdoor;$2,450,000;Andy Roddick
Long Island;Long Island;2003.08.18;32;Hard;Outdoor;$380,000;Paradorn Srichaphan
US Open;New York;2003.08.25;128;Hard;Outdoor;$7,336,000;Andy Roddick
Bucharest;Bucharest;2003.09.08;32;Clay;Outdoor;$380,000;David Sanchez
Sao Paulo;Sao Paulo;2003.09.08;32;Clay;Outdoor;$380,000;Sjeng Schalken
Bangkok;Bangkok;2003.09.22;32;Hard;Indoor;$525,000;Taylor Dent
Palermo;Palermo;2003.09.22;32;Clay;Outdoor;$380,000;Nicolas Massu
Shanghai;Shanghai;2003.09.22;32;Hard;Outdoor;$380,000;Mark Philippoussis
Moscow;Moscow;2003.09.29;32;Carpet;Indoor;$1,000,000;Taylor Dent
Tokyo;Tokyo;2003.09.29;48;Hard;Outdoor;$690,000;Rainer Schuettler
Metz;Metz;2003.09.29;32;Hard;Indoor;$380,000;Arnaud Clement
Lyon;Lyon;2003.10.06;32;Carpet;Indoor;$800,000;Rainer Schuettler
Vienna;Vienna;2003.10.06;32;Hard;Indoor;$765,000;Roger Federer
ATP Masters Series Madrid;Madrid;2003.10.13;48;Hard;Indoor;$2,240,000;Juan Carlos Ferrero
Basel;Basel;2003.10.20;32;Carpet;Indoor;$1,000,000;Guillermo Coria
St. Petersburg;St. Petersburg;2003.10.20;32;Hard;Indoor;$1,000,000;Gustavo Kuerten
Stockholm;Stockholm;2003.10.20;32;Hard;Indoor;$650,000;Mardy Fish
ATP World Tour Masters 1000 Paris;Paris;2003.10.27;48;Carpet;Indoor;$2,240,000;Tim Henman
Tennis Masters Cup;;2003.11.10;8;Hard;Outdoor;$3,700,000;Roger Federer
Doha;Doha;2004.01.05;32;Hard;Outdoor;$1,000,000;Nicolas Escude
Adelaide;Adelaide;2004.01.05;32;Hard;Outdoor;$380,000;Dominik Hrbaty
Chennai;Chennai;2004.01.05;32;Hard;Outdoor;$380,000;Carlos Moya
Auckland;Auckland;2004.01.12;32;Hard;Outdoor;$404,000;Dominik Hrbaty
Sydney;Sydney;2004.01.12;32;Hard;Outdoor;$380,000;Lleyton Hewitt
Australian Open;Melbourne;2004.01.19;128;Hard;Outdoor;$6,736,438;Roger Federer
Milan;Milan;2004.02.09;32;Carpet;Indoor;$380,000;Antony Dupuis
San Jose;San Jose;2004.02.09;32;Hard;Indoor;$380,000;Andy Roddick
Viña del Mar;Vina Del Mar;2004.02.09;32;Clay;Outdoor;$333,000;Fernando Gonzalez
Rotterdam;Rotterdam;2004.02.16;32;Hard;Indoor;$875,505;Lleyton Hewitt
Memphis;Memphis;2004.02.16;32;Hard;Indoor;$690,000;Joachim Johansson
Buenos Aires;Buenos Aires;2004.02.16;32;Clay;Outdoor;$380,000;Guillermo Coria
Marseille;Marseille;2004.02.23;32;Hard;Indoor;$600,000;Dominik Hrbaty
Sao Paulo;Sao Paulo;2004.02.23;32;Clay;Outdoor;$380,000;Gustavo Kuerten
Dubai;Dubai;2004.03.01;32;Hard;Outdoor;$1,000,000;Roger Federer
Acapulco;Acapulco;2004.03.01;32;Clay;Outdoor;$652,000;Carlos Moya
Scottsdale;Scottsdale;2004.03.01;32;Hard;Outdoor;$380,000;Vincent Spadea
ATP Masters Series Indian Wells;Indian Wells;2004.03.08;96;Hard;Outdoor;$2,779,000;Roger Federer
ATP Masters Series Miami;Miami;2004.03.22;96;Hard;Outdoor;$3,450,000;Andy Roddick
Estoril;Estoril;2004.04.12;32;Clay;Outdoor;$525,000;Juan Ignacio Chela
Valencia;Valencia;2004.04.12;32;Clay;Outdoor;$400,000;Fernando Verdasco
Houston;Houston;2004.04.12;32;Clay;Outdoor;$380,000;Tommy Haas
ATP Masters Series Monte Carlo;Monte Carlo;2004.04.19;64;Clay;Outdoor;$2,450,000;Guillermo Coria
Barcelona;Barcelona;2004.04.26;56;Clay;Outdoor;$1,000,000;Tommy Robredo
Munich;Munich;2004.04.26;32;Clay;Outdoor;$380,000;Nikolay Davydenko
ATP Masters Series Rome;Rome;2004.05.03;64;Clay;Outdoor;$2,450,000;Carlos Moya
ATP Masters Series Hamburg;Hamburg;2004.05.10;64;Clay;Outdoor;$2,450,000;Roger Federer
World Team Championship;Dusseldorf;2004.05.17;64;Clay;Outdoor;$1,850,000;Fernando Gonzalez
Casablanca;Casablanca;2004.05.17;32;Clay;Outdoor;$380,000;Santiago Ventura
St. Poelten;St. Poelten;2004.05.17;32;Clay;Outdoor;$380,000;Filippo Volandri
Roland Garros;Paris;2004.05.24;128;Clay;Outdoor;$7,462,318;Gaston Gaudio
Halle;Halle;2004.06.07;32;Grass;Outdoor;$791,750;Roger Federer
London / Queen's Club;London;2004.06.07;56;Grass;Outdoor;$791,750;Andy Roddick
Nottingham;Nottingham;2004.06.14;32;Grass;Outdoor;$380,000;Paradorn Srichaphan
's-Hertogenbosch;s-Hertogenbosch;2004.06.14;32;Grass;Outdoor;$380,000;Michael Llodra
Wimbledon;London;2004.06.21;128;Grass;Outdoor;$8,328,704;Roger Federer
Gstaad;Gstaad;2004.07.05;32;Clay;Outdoor;$544,750;Roger Federer
Bastad;Bastad;2004.07.05;32;Clay;Outdoor;$380,000;Mariano Zabaleta
Newport;Newport;2004.07.05;32;Grass;Outdoor;$380,000;Greg Rusedski
Stuttgart;Stuttgart;2004.07.12;48;Clay;Outdoor;$614,750;Guillermo Canas
Amersfoort;Amersfoort;2004.07.12;32;Clay;Outdoor;$380,000;Martin Verkerk
Los Angeles;Los Angeles;2004.07.12;32;Hard;Outdoor;$380,000;Tommy Haas
Kitzbuhel;Kitzbuhel;2004.07.19;48;Clay;Outdoor;$800,000;Nicolas Massu
Indianapolis;Indianapolis;2004.07.19;48;Hard;Outdoor;$600,000;Andy Roddick
Umag;Umag;2004.07.19;32;Clay;Outdoor;$395,750;Guillermo Canas
ATP Masters Series Canada;Toronto;2004.07.26;64;Hard;Outdoor;$2,564,000;Roger Federer
ATP Masters Series Cincinnati;Cincinnati;2004.08.02;64;Hard;Outdoor;$2,450,000;Andre Agassi
Sopot;Sopot;2004.08.09;32;Clay;Outdoor;$500,000;Rafael Nadal
Washington;Washington;2004.08.16;32;Hard;Outdoor;$500,000;Lleyton Hewitt
Athens Olympics;Athens;2004.08.16;64;Hard;Outdoor;;Nicolas Massu
Long Island;Long Island;2004.08.23;32;Hard;Outdoor;$380,000;Lleyton Hewitt
US Open;New York;2004.08.30;128;Hard;Outdoor;$7,696,000;Roger Federer
Beijing;Beijing;2004.09.13;32;Hard;Outdoor;$500,000;Marat Safin
Bucharest;Bucharest;2004.09.13;32;Clay;Outdoor;$380,000;Jose Acasuso
Delray Beach;Delray Beach;2004.09.13;32;Hard;Outdoor;$380,000;Ricardo Mello
Bangkok;Bangkok;2004.09.27;32;Hard;Indoor;$550,000;Roger Federer
Palermo;Palermo;2004.09.27;32;Clay;Outdoor;$380,000;Tomas Berdych
Shanghai;Shanghai;2004.09.27;32;Hard;Outdoor;$380,000;Guillermo Canas
Lyon;Lyon;2004.10.04;32;Carpet;Indoor;$791,750;Robin Soderling
Tokyo;Tokyo;2004.10.04;48;Hard;Outdoor;$775,000;Jiri Novak
Moscow;Moscow;2004.10.11;32;Carpet;Indoor;$1,000,000;Nikolay Davydenko
Vienna;Vienna;2004.10.11;32;Hard;Indoor;$682,750;Feliciano Lopez
Metz;Metz;2004.10.11;32;Hard;Indoor;$380,000;Jerome Haehnel
ATP Masters Series Madrid;Madrid;2004.10.18;48;Hard;Indoor;$2,425,500;Marat Safin
Basel;Basel;2004.10.25;32;Carpet;Indoor;$1,000,000;Jiri Novak
St. Petersburg;St. Petersburg;2004.10.25;32;Carpet;Indoor;$1,000,000;Mikhail Youzhny
Stockholm;Stockholm;2004.10.25;32;Hard;Indoor;$643,750;Thomas Johansson
ATP World Tour Masters 1000 Paris;Paris;2004.11.01;48;Carpet;Indoor;$2,425,500;Marat Safin
Tennis Masters Cup;;2004.11.15;8;Hard;Outdoor;$3,700,000;Roger Federer
Doha;Doha;2005.01.03;32;Hard;Outdoor;$1,000,000;Roger Federer
Adelaide;Adelaide;2005.01.03;32;Hard;Outdoor;$419,000;Joachim Johansson
Chennai;Chennai;2005.01.03;32;Hard;Outdoor;$380,000;Carlos Moya
Auckland;Auckland;2005.01.10;32;Hard;Outdoor;$426,000;Fernando Gonzalez
Sydney;Sydney;2005.01.10;32;Hard;Outdoor;$419,000;Lleyton Hewitt
Australian Open;Melbourne;2005.01.17;128;Hard;Outdoor;$6,743,444;Marat Safin
Delray Beach;Delray Beach;2005.01.31;32;Hard;Outdoor;$380,000;Xavier Malisse
Milan;Milan;2005.01.31;32;Carpet;Indoor;$380,000;Robin Soderling
Viña del Mar;Vina Del Mar;2005.01.31;32;Clay;Outdoor;$380,000;Gaston Gaudio
Marseille;Marseille;2005.02.07;32;Hard;Indoor;$600,000;Joachim Johansson
Buenos Aires;Buenos Aires;2005.02.07;32;Clay;Outdoor;$380,000;Gaston Gaudio
San Jose;San Jose;2005.02.07;32;Hard;Indoor;$380,000;Andy Roddick
Rotterdam;Rotterdam;2005.02.14;32;Hard;Indoor;$925,000;Roger Federer
Memphis;Memphis;2005.02.14;32;Hard;Indoor;$690,000;Kenneth Carlsen
Sao Paulo;Sao Paulo;2005.02.14;32;Clay;Outdoor;$380,000;Rafael Nadal
Dubai;Dubai;2005.02.21;32;Hard;Outdoor;$1,000,000;Roger Federer
Acapulco;Acapulco;2005.02.21;32;Clay;Outdoor;$643,000;Rafael Nadal
Scottsdale;Scottsdale;2005.02.21;32;Hard;Outdoor;$380,000;Wayne Arthurs
ATP Masters Series Indian Wells;Indian Wells;2005.03.07;96;Hard;Outdoor;$2,974,600;Roger Federer
ATP Masters Series Miami;Miami;2005.03.21;96;Hard;Outdoor;$3,450,000;Roger Federer
Valencia;Valencia;2005.04.04;32;Clay;Outdoor;$400,000;Igor Andreev
