player_id;player_name;age;country;height;weight;favorite_hand;backhand;turned_Pro;seasons;is_active;prize_money;titles;grand_slams;masters;finals;current_rank;best_rank
5070;Albert Ramos;31 (17-01-1988);Spain;;188 cm;Left-handed;Two-handed;2007;;Yes ;US$7,062,030;2;;;;41 (1130);17 (
5543;Daniel Evans;29 (23-05-1990);United Kingdom;;175 cm;Right-handed;One-handed;2006;;Yes ;$2,182,736;;;;;42 (1124);41 (
5166;Adrian Mannarino;;;;;;;;;;;;;;;;
5016;Sam Querrey;32 (07-10-1987);United States;;198 cm;Right-handed;Two-handed;2006;;Yes ;US$11,912,152;10;;;;44 (1100);11 (
4654;Pablo Cuevas;;;;;;;;;;;;;;;;
5420;Radu Albot;29 (11-11-1989);Moldova, Republic of;;;Right-handed;Two-handed;2008;;Yes ;US$2,935,790;1;;;;46 (1067);39 (
26011;Frances Tiafoe;21 (20-01-1998);United States;;;Right-handed;Two-handed;2015;;Yes ;US$2,990,769;1;;;;47 (1050);29 (
22171;Alexander Bublik;22 (17-06-1997);Russian Federation;;;Right-handed;Two-handed;;;Yes ;$770,281;;;;;48 (1029);48 (
5349;John Millman;30 (14-06-1989);Australia;;183 cm;Right-handed;Two-handed;2006;;Yes ;$2,752,962;;;;;49 (1026);33 (
4269;Fernando Verdasco;35 (15-11-1983);Spain;;188 cm;Left-handed;Two-handed;2001;;Yes ;US$15.171.205 27th all-time leader in earnings;7;;;;50 (1025);7 (
6214;Juan Ignacio Londero;26 (15-08-1993);Argentina;;;Right-handed;Two-handed;2010;;Yes ;US$944,760;1;;;;51 (1017);51 (
4868;Jeremy Chardy;32 (12-02-1987);France;;188 cm;Right-handed;Two-handed;2005;;Yes ;$8,658,443;1;;;;52 (990);25 (
32068;Lorenzo Sonego;24 (11-05-1995);Italy;;;Right-handed;Two-handed;2013;;Yes ;$1,161,924;1;;;;53 (990);46 (
11787;Cameron Norrie;24 (23-08-1995);United Kingdom;;;Left-handed;Two-handed;2017;;Yes ;$1,614,496;;;;;54 (975);41 (
44831;Ugo Humbert;21 (26-06-1998);France;;;Left-handed;Two-handed;2016;;Yes ;$898,575;;;;;55 (972);46 (
34555;Casper Ruud;20 (22-12-1998);Norway;;;Right-handed;Two-handed;2015;;Yes ;US$1,279,962;;;;;56 (956);54 (
4467;Gilles Simon;34 (27-12-1984);France;;183 cm;Right-handed;Two-handed;2002;;Yes ;US$14,523,362  41st all-time leader in earnings;14;;;;57 (955);6 (
4664;Pablo Andujar;33 (23-01-1986);Spain;;180 cm;Right-handed;Two-handed;2004;;Yes ;$5,000,406;4;;;;58 (955);32 (
5370;Aljaz Bedene;30 (18-07-1989);Slovenia;;181 cm;Right-handed;Two-handed;2008;;Yes ;$3,591,892;;;;;59 (905);43 (
45001;Miomir Kecmanovic;20 (31-08-1999);Serbia;;;Right-handed;Two-handed;2017;;Yes ;$1,002,656;;;;;60 (901);47 (
5303;Joao Sousa;30 (30-03-1989);Portugal;;185 cm;Right-handed;Two-handed;2008;;Yes ;$6,119,457;3;;;;61 (891);28 (
4752;Richard Gasquet;33 (18-06-1986);France;75 kg;185 cm;Right-handed;One-handed;2002;;Yes ;US$17,648,594 24th all-time leader in earnings;15;;;;62 (890);7 (
3852;Feliciano Lopez;38 (20-09-1981);Spain;;188 cm;Left-handed;One-handed;1997;;Yes ;US$16,819,301 28th all-time leader in earnings;7;;;;63 (888);12 (
11415;Jordan Thompson;25 (20-04-1994);Australia;;;Right-handed;Two-handed;2013;;Yes ;$1,907,200;;;;;64 (878);43 (
5718;Pierre Hugues Herbert;;;;;;;;;;;;;;;;
5564;Ricardas Berankis;29 (21-06-1990);Lithuania;;175 cm;Right-handed;Two-handed;2007;;Yes ;$2,765,391;;;;;66 (844);50 (
5055;Mikhail Kukushkin;31 (26-12-1987);Kazakhstan;;183 cm;Right-handed;Two-handed;2006;;Yes ;$4,997,728;1;;;;67 (816);39 (
6364;Kyle Edmund;24 (08-01-1995);United Kingdom;;;Right-handed;Two-handed;2011;;Yes ;$4,965,000;1;;;;68 (800);14 (
5801;Tennys Sandgren;28 (22-07-1991);United States;;;Right-handed;Two-handed;2011;;Yes ;$1,937,788;1;;;;69 (800);41 (
6401;Yoshihito Nishioka;24 (27-09-1995);Japan;;;Left-handed;Two-handed;;;Yes ;$1,703,096;1;;;;70 (793);58 (
5902;Marton Fucsovics;27 (08-02-1992);Hungary;;;Right-handed;Two-handed;2009;;Yes ;US$2,565,227;1;;;;71 (790);31 (
6051;Marco Cecchinato;27 (30-09-1992);Italy;;;Right-handed;One-handed;2010;;Yes ;$2,802,848;3;;;;72 (780);16 (
44483;Mikael Ymer;21 (09-09-1998);Sweden;;;Right-handed;Two-handed;2015;;Yes ;$379,322;;;;;73 (765);73 (
4311;Andreas Seppi;;;;;;;;;;;;;;;;
