player_id,player_name,age,country,favorite_hand,backhand,turned_pro,prize_money,titles,cluster_level,cluster_piso,cluster_pressao,cluster_saque,cluster_duplafalta,cluster_servico,cluster_retorno,cluster_bpcontra,cluster_bpfavor,cluster_pontos,cluster_game,cluster_match,cluster_tiebreak,cluster_upset,cluster_dominance,cluster_rodada,cluster_velocidade,cluster_oponente,hard,clay,grass,grand_slam,tour_finals,masters.1,atp_500,final,semi_final,quarter_final,round_of_16,round_of_32,round_of_64,round_of_128
25898,Andrey Rublev,22,Russian Federation,Right-handed,Two-handed,2014,3427292,2,2,0,0,2,2,1,1,0,2,0,1,0,2,1,1,1,2,0,52.5,48.4,57.1,54.5,0.0,40.0,57.6,50.0,80.0,31.3,50.0,58.0,44.4,64.3
5324,Benoit Paire,30,France,Right-handed,Two-handed,2007,7261886,3,1,0,1,0,2,1,1,0,2,2,1,0,0,2,1,0,2,0,46.3,52.3,50.0,52.6,0.0,42.4,42.0,37.5,34.8,65.7,42.7,42.4,56.3,62.2
5539,Guido Pella,0,0,0,0,0,0,0,2,0,1,2,1,1,2,2,1,2,1,3,0,2,1,1,1,0,40.0,56.3,44.4,41.7,0.0,37.8,46.2,20.0,50.0,45.5,66.7,46.3,41.7,46.7
5918,Nikoloz Basilashvili,27,Georgia,Right-handed,Two-handed,2008,4271703,3,2,0,1,2,0,1,2,0,2,2,1,0,0,2,0,1,2,0,48.6,50.8,36.8,46.9,0.0,37.8,62.9,60.0,55.6,52.9,48.6,45.5,50.0,42.9
5793,Pablo Carreno Busta,0,0,0,0,0,0,0,2,3,0,2,1,1,1,0,2,0,1,0,0,2,1,0,1,0,54.9,52.9,20.0,56.4,0.0,45.6,51.0,57.1,33.3,50.0,62.1,53.5,54.7,50.0
6418,Borna Coric,0,0,0,0,0,0,0,2,2,0,0,1,2,2,2,2,0,1,0,0,2,1,0,2,1,51.2,57.0,52.4,51.3,0.0,54.7,57.4,33.3,50.0,41.4,58.3,48.2,61.7,59.3
4541,Jo Wilfried Tsonga,34,France,Right-handed,Two-handed,2004,21885882,18,1,2,1,0,1,2,2,2,2,0,2,1,0,0,2,0,1,1,68.6,63.6,68.9,73.3,36.4,61.1,59.7,60.0,51.8,56.7,66.2,70.3,81.3,90.9
6387,Nick Kyrgios,24,Australia,Right-handed,Two-handed,2013,7752438,6,2,2,1,1,2,2,0,2,2,2,2,1,0,2,1,0,2,1,66.0,56.8,61.1,60.7,0.0,59.2,72.7,66.7,50.0,75.0,55.8,58.3,66.7,76.0
24021,Reilly Opelka,22,United States,0,Two-handed,2015,961043,1,0,0,0,1,2,2,0,2,1,2,1,0,0,1,1,0,2,0,55.4,20.0,40.0,44.4,0.0,40.0,53.8,100.0,20.0,83.3,50.0,44.0,53.8,44.4
5670,Milos Raonic,28,Canada,Right-handed,Two-handed,2008,18507698,8,1,2,0,1,2,2,0,2,1,0,2,1,0,0,2,0,1,1,69.2,64.0,70.0,72.8,33.3,64.0,67.0,38.1,56.8,54.8,64.5,74.4,80.5,90.6
