player_name,adv_name,round,date,diff_rank,tourney_name,class,prediction
Radu Albot,Nick Kyrgios,R128,2018-08-27,65.0,Us Open,0,0
Marin Cilic,Marius Copil,R128,2018-08-27,-75.0,Us Open,1,1
Rafael Nadal,Dominic Thiem,QF,2018-08-27,-8.0,Us Open,1,1
Taylor Harry Fritz,Dominic Thiem,R32,2018-08-27,65.0,Us Open,0,0
Nick Kyrgios,Pierre Hugues Herbert,R64,2018-08-27,-45.0,Us Open,1,1
Daniil Medvedev,Borna Coric,R32,2018-08-27,16.0,Us Open,0,0
Alex De Minaur,Taro Daniel,R128,2018-08-27,-19.0,Us Open,1,1
Novak Djokovic,John Millman,QF,2018-08-27,-49.0,Us Open,1,1
Fabio Fognini,John Millman,R64,2018-08-27,-41.0,Us Open,0,1
Roger Federer,John Millman,R16,2018-08-27,-53.0,Us Open,0,1
Rafael Nadal,Nikoloz Basilashvili,R16,2018-08-27,-36.0,Us Open,1,1
Guido Pella,Nikoloz Basilashvili,R32,2018-08-27,29.0,Us Open,0,1
John Isner,Nicolas Jarry,R64,2018-08-27,-31.0,Us Open,1,1
Gael Monfils,Facundo Bagnis,R128,2018-08-27,-110.0,Us Open,1,1
Diego Sebastian Schwartzman,Jaume Munar,R64,2018-08-27,-72.0,Us Open,1,1
Borna Coric,Roberto Carballes Baena,R64,2018-08-27,-77.0,Us Open,1,1
Benoit Paire,Dennis Novak,R128,2018-08-27,-84.0,Us Open,1,1
Roger Federer,Yoshihito Nishioka,R128,2018-08-27,-175.0,Us Open,1,1
Dominic Thiem,Taylor Harry Fritz,R32,2018-08-27,-65.0,Us Open,1,1
Nick Kyrgios,Radu Albot,R128,2018-08-27,-65.0,Us Open,1,1
Rafael Nadal,Karen Khachanov,R32,2018-08-27,-25.0,Us Open,1,1
Albert Ramos,Karen Khachanov,R128,2018-08-27,26.0,Us Open,0,0
Borna Coric,Daniil Medvedev,R32,2018-08-27,-16.0,Us Open,1,1
Stefanos Tsitsipas,Daniil Medvedev,R64,2018-08-27,-21.0,Us Open,0,1
Felix Auger Aliassime,Denis Shapovalov,R128,2018-08-27,89.0,Us Open,0,0
Marin Cilic,Hubert Hurkacz,R64,2018-08-27,-102.0,Us Open,1,1
Marin Cilic,Alex De Minaur,R32,2018-08-27,-38.0,Us Open,1,1
Daniil Medvedev,Stefanos Tsitsipas,R64,2018-08-27,21.0,Us Open,1,0
Guido Pella,Casper Ruud,R128,2018-08-27,-77.0,Us Open,1,1
Novak Djokovic,Marton Fucsovics,R128,2018-08-27,-35.0,Us Open,1,1
Dusan Lajovic,Cameron Norrie,R64,2018-08-27,-5.0,Us Open,1,1
Hubert Hurkacz,Stefano Travaglia,R128,2018-08-27,-32.0,Us Open,1,1
Novak Djokovic,Tennys Sandgren,R64,2018-08-27,-55.0,Us Open,1,1
Denis Shapovalov,Felix Auger Aliassime,R128,2018-08-27,-89.0,Us Open,1,1
Lucas Pouille,Yannick Maden,R128,2018-08-27,-108.0,Us Open,1,1
Karen Khachanov,Lorenzo Sonego,R64,2018-08-27,-95.0,Us Open,1,1
David Goffin,Federico Gaio,R128,2018-08-27,-232.0,Us Open,1,1
