player_id;Hard;Clay;Grass;Carpet;Grand Slam;Tour Finals;Masters;Olympics;ATP 500;ATP 250;Davis Cup;Deciding Set;Fifth Set;After Winning 1st Set;After Losing 1st Set;Tie-Breaks;Deciding Set Tie-Breaks;Outdoor;Indoor;Best of 3;Best of 5;Vs No. 1;Vs Top 5;Vs Top 10;Vs Top 20;Vs Top 50;Vs Top 100;Final;For Bronze Medal;Semi-Final;Quarter-Final;Round of 16;Round of 32;Round of 64;Round of 128;Round-Robin;Very Fast;Fast;Medium Fast;Medium;Medium Slow;Slow;Very Slow;Best of 3: 2:0;Best of 3: 2:1;Best of 3: 1:2;Best of 3: 0:2;Best of 5: 3:0;Best of 5: 3:1;Best of 5: 3:2;Best of 5: 2:3;Best of 5: 1:3;Best of 5: 0:3;Win;Final;Semi-Final;Quarter-Final;Round of 16;Round of 32;Round of 64;Round of 128;Round-Robin
5663;61.3% (168-106);61.7% (71-44);55.8% (24-19);;64.2% (52-29);50.0% (3-3);58.4% (73-52);50.0% (2-2);61.0% (47-30);55.7% (64-51);88.5% (23-3);64.1% (84-47);75.0% (12-4);88.5% (201-26);30.4% (63-144);49.4% (81-83);57.1% (12-9);61.8% (215-133);57.0% (49-37);58.1% (191-138);69.5% (73-32);12.5% (1-7);17.5% (7-33);22.1% (15-53);31.2% (34-75);48.3% (113-121);56.1% (201-157);30.8% (4-9);;48.1% (13-14);50.0% (24-24);51.6% (49-46);62.4% (73-44);75.7% (53-17);67.6% (23-11);50.0% (2-2);60.6% (63-41);59.1% (52-36);60.3% (47-31);54.7% (35-29);60.0% (30-20);52.6% (10-9);80.0% (4-1);35.1% (112/319);22.6% (72/319);13.5% (43/319);28.8% (92/319);37.3% (38/102);21.6% (22/102);11.8% (12/102);3.9% (4/102);8.8% (9/102);16.7% (17/102);2.4% (4/170);30.8% (4-9);48.1% (13-14);50.0% (24-24);51.6% (49-46);62.4% (73-44);75.7% (53-17);67.6% (23-11);50.0% (2-2)
4921;48.0% (130-141);59.0% (206-143);51.4% (19-18);0.0% (0-1);54.0% (54-46);;47.9% (78-85);50.0% (2-2);55.8% (58-46);55.4% (144-116);72.4% (21-8);59.2% (132-91);60.6% (20-13);82.4% (263-56);27.6% (94-247);55.2% (127-103);64.3% (18-10);55.0% (324-265);46.5% (33-38);53.3% (284-249);57.5% (73-54);12.5% (1-7);15.2% (7-39);19.7% (15-61);25.9% (35-100);40.9% (133-192);48.6% (250-264);47.4% (9-10);;50.0% (19-19);57.4% (39-29);49.6% (69-70);51.6% (99-93);56.3% (67-52);60.7% (34-22);;48.0% (36-39);48.2% (41-44);51.4% (55-52);52.3% (67-61);56.8% (71-54);62.1% (54-33);50.0% (12-12);31.7% (164/518);21.6% (112/518);15.1% (78/518);31.7% (164/518);23.0% (28/122);16.4% (20/122);16.4% (20/122);10.7% (13/122);13.9% (17/122);19.7% (24/122);2.9% (9/306);47.4% (9-10);50.0% (19-19);57.4% (39-29);49.6% (69-70);51.6% (99-93);56.3% (67-52);60.7% (34-22);
5442;67.7% (266-127);70.7% (94-39);62.5% (40-24);100.0% (1-0);71.4% (95-38);35.7% (5-9);62.7% (101-60);72.7% (8-3);72.8% (91-34);66.7% (86-43);85.0% (17-3);74.2% (132-46);78.6% (22-6);91.5% (312-29);36.1% (91-161);59.2% (125-86);65.2% (15-8);67.6% (331-159);69.9% (72-31);66.2% (292-149);73.0% (111-41);10.5% (2-17);28.6% (18-45);36.4% (39-68);44.1% (75-95);56.7% (190-145);64.4% (316-175);46.2% (12-14);100.0% (1-0);48.1% (26-28);62.7% (52-31);66.9% (85-42);75.2% (112-37);79.2% (61-16);72.7% (32-12);41.7% (5-7);67.7% (84-40);64.0% (73-41);69.0% (89-40);63.6% (70-40);74.6% (53-18);68.4% (13-6);66.7% (4-2);41.8% (177/423);26.0% (110/423);9.5% (40/423);22.7% (96/423);39.6% (55/139);18.7% (26/139);15.8% (22/139);4.3% (6/139);8.6% (12/139);12.9% (18/139);6.0% (12/199);46.2% (12-14);48.1% (26-28);62.7% (52-31);66.9% (85-42);75.2% (112-37);79.2% (61-16);72.7% (32-12);41.7% (5-7)
6029;54.8% (69-57);54.0% (68-58);33.3% (5-10);;56.9% (29-22);;47.6% (30-33);;57.4% (27-20);52.5% (52-47);57.1% (4-3);53.7% (44-38);55.6% (5-4);82.1% (119-26);18.9% (23-99);42.5% (37-50);62.5% (5-3);52.5% (124-112);58.1% (18-13);52.4% (111-101);56.4% (31-24);0.0% (0-5);0.0% (0-18);22.6% (7-24);27.1% (16-43);43.7% (55-71);47.7% (105-115);42.9% (3-4);;53.8% (7-6);46.4% (13-15);50.9% (28-27);52.4% (43-39);59.6% (28-19);57.1% (16-12);;44.9% (22-27);54.3% (19-16);50.0% (20-20);60.4% (32-21);52.5% (32-29);50.0% (7-7);75.0% (6-2);33.8% (70/207);18.8% (39/207);16.4% (34/207);30.9% (64/207);31.5% (17/54);16.7% (9/54);9.3% (5/54);7.4% (4/54);14.8% (8/54);20.4% (11/54);2.4% (3/125);42.9% (3-4);53.8% (7-6);46.4% (13-15);50.9% (28-27);52.4% (43-39);59.6% (28-19);57.1% (16-12);
33215;60.2% (68-45);45.5% (10-12);25.0% (3-9);;54.5% (12-10);;60.0% (33-22);;43.5% (10-13);53.8% (21-18);62.5% (5-3);67.3% (35-17);50.0% (3-3);84.7% (61-11);25.7% (19-55);49.3% (37-38);85.7% (6-1);54.8% (63-52);56.3% (18-14);54.6% (65-54);57.1% (16-12);0.0% (0-4);10.0% (1-9);20.0% (3-12);39.4% (13-20);42.7% (35-47);53.2% (67-59);50.0% (1-1);;12.5% (1-7);64.3% (9-5);46.7% (14-16);55.8% (24-19);60.0% (18-12);75.0% (9-3);1.5% (1/65);46.8% (22-25);60.9% (14-9);62.2% (28-17);61.1% (11-7);25.0% (1-3);0.0% (0-2);;27.4% (32/117);27.4% (32/117);12.0% (14/117);33.3% (39/117);38.5% (10/26);3.8% (1/26);11.5% (3/26);11.5% (3/26);15.4% (4/26);19.2% (5/26);1.5% (1/65);50.0% (1-1);12.5% (1-7);64.3% (9-5);46.7% (14-16);55.8% (24-19);60.0% (18-12);75.0% (9-3);1.5% (1/65)
4526;63.7% (293-167);66.7% (182-91);50.0% (31-31);47.1% (8-9);72.4% (144-55);46.7% (7-8);58.9% (152-106);33.3% (1-2);62.5% (70-42);62.3% (119-72);62.9% (22-13);57.0% (154-116);55.1% (27-22);84.3% (403-75);33.2% (111-223);53.6% (229-198);57.9% (22-16);65.0% (440-237);55.1% (75-61);60.3% (351-231);71.0% (164-67);19.2% (5-21);20.6% (20-77);37.3% (56-94);42.7% (105-141);56.1% (261-204);61.3% (416-263);53.3% (16-14);;50.0% (30-30);58.2% (57-41);60.4% (99-65);62.0% (134-82);72.1% (98-38);83.9% (52-10);58.3% (7-5);51.8% (71-66);63.0% (85-50);61.1% (88-56);69.4% (109-48);70.2% (87-37);69.8% (44-19);50.0% (9-9);37.8% (215/569);22.3% (127/569);16.5% (94/569);23.4% (133/569);37.2% (83/223);21.5% (48/223);12.1% (27/223);9.9% (22/223);9.4% (21/223);9.9% (22/223);5.3% (16/300);53.3% (16-14);50.0% (30-30);58.2% (57-41);60.4% (99-65);62.0% (134-82);72.1% (98-38);83.9% (52-10);58.3% (7-5)
11547;52.8% (67-60);57.1% (32-24);66.7% (14-7);;64.9% (24-13);;54.4% (31-26);;53.1% (26-23);53.6% (30-26);33.3% (2-4);47.8% (33-36);50.0% (3-3);79.2% (95-25);21.2% (18-67);46.5% (59-68);30.0% (3-7);55.1% (87-71);55.3% (26-21);53.7% (87-75);60.5% (26-17);0.0% (0-5);14.3% (2-12);33.3% (10-20);32.1% (17-36);45.2% (52-63);50.6% (89-87);100.0% (4-0);;50.0% (4-4);34.8% (8-15);47.9% (23-25);58.2% (39-28);65.6% (21-11);70.6% (12-5);1.1% (1/93);66.7% (42-21);53.3% (24-21);25.0% (5-15);56.8% (21-16);56.5% (13-10);55.6% (5-4);50.0% (1-1);34.0% (54/159);18.9% (30/159);20.8% (33/159);26.4% (42/159);23.3% (10/43);30.2% (13/43);7.0% (3/43);7.0% (3/43);9.3% (4/43);23.3% (10/43);4.3% (4/93);100.0% (4-0);50.0% (4-4);34.8% (8-15);47.9% (23-25);58.2% (39-28);65.6% (21-11);70.6% (12-5);1.1% (1/93)
45107;63.1% (53-31);18.2% (2-9);40.0% (4-6);;52.2% (12-11);;38.9% (7-11);;58.8% (10-7);68.2% (30-14);0.0% (0-3);50.0% (16-16);40.0% (2-3);81.7% (49-11);22.2% (10-35);59.3% (32-22);50.0% (4-4);55.9% (52-41);58.3% (7-5);59.5% (47-32);46.2% (12-14);0.0% (0-1);0.0% (0-7);18.8% (3-13);18.2% (4-18);55.6% (30-24);56.7% (51-39);50.0% (3-3);;75.0% (6-2);70.0% (7-3);55.6% (10-8);58.6% (17-12);44.4% (8-10);61.5% (8-5);;59.5% (22-15);69.6% (16-7);63.3% (19-11);12.5% (1-7);0.0% (0-1);33.3% (1-2);;40.8% (31/76);18.4% (14/76);17.1% (13/76);23.7% (18/76);19.2% (5/26);19.2% (5/26);7.7% (2/26);11.5% (3/26);11.5% (3/26);30.8% (8/26);6.4% (3/47);50.0% (3-3);75.0% (6-2);70.0% (7-3);55.6% (10-8);58.6% (17-12);44.4% (8-10);61.5% (8-5);
4544;63.2% (304-177);54.3% (69-58);67.1% (49-24);;62.8% (76-45);0.0% (0-3);60.0% (123-82);75.0% (3-1);56.4% (53-41);67.4% (151-73);57.7% (15-11);57.1% (152-114);36.7% (11-19);84.9% (338-60);29.8% (84-198);60.8% (424-273);54.3% (51-43);63.3% (375-217);52.8% (47-42);62.3% (335-203);60.8% (87-56);16.7% (2-10);20.0% (10-40);27.6% (24-63);36.0% (54-96);46.2% (152-177);58.1% (322-232);53.6% (15-13);;53.8% (28-24);59.1% (52-36);61.0% (89-57);57.4% (101-75);76.1% (83-26);77.6% (38-11);0.0% (0-3);57.1% (72-54);59.5% (75-51);69.3% (124-55);64.2% (86-48);58.7% (37-26);50.0% (12-12);33.3% (1-2);36.2% (194/536);26.3% (141/536);17.7% (95/536);19.8% (106/536);34.3% (48/140);19.3% (27/140);7.9% (11/140);13.6% (19/140);13.6% (19/140);11.4% (16/140);5.8% (15/259);53.6% (15-13);53.8% (28-24);59.1% (52-36);61.0% (89-57);57.4% (101-75);76.1% (83-26);77.6% (38-11);0.0% (0-3)
5763;61.3% (201-127);57.5% (65-48);57.4% (35-26);100.0% (2-0);61.5% (59-37);100.0% (5-0);57.5% (88-65);33.3% (1-2);54.8% (51-42);62.8% (91-54);88.9% (8-1);59.0% (102-71);58.8% (10-7);83.9% (240-46);28.9% (63-155);53.0% (131-116);59.4% (19-13);59.4% (238-163);63.1% (65-38);59.1% (236-163);63.8% (67-38);8.3% (1-11);26.1% (12-34);29.4% (25-60);36.3% (49-86);50.3% (153-151);56.9% (239-181);53.3% (8-7);;40.0% (14-21);57.6% (34-25);56.6% (60-46);58.4% (90-64);71.1% (59-24);67.5% (27-13);100.0% (3-0);58.9% (73-51);61.9% (73-45);59.6% (56-38);54.4% (37-31);56.4% (31-24);69.0% (20-9);71.4% (5-2);35.0% (137/391);23.5% (92/391);16.4% (64/391);25.1% (98/391);37.6% (38/101);16.8% (17/101);9.9% (10/101);6.9% (7/101);11.9% (12/101);16.8% (17/101);3.8% (8/208);53.3% (8-7);40.0% (14-21);57.6% (34-25);56.6% (60-46);58.4% (90-64);71.1% (59-24);67.5% (27-13);100.0% (3-0)
