player_id;Hard;Clay;Grass;Carpet;Grand Slam;Tour Finals;Masters;Olympics;ATP 500;ATP 250;Davis Cup;Deciding Set;Fifth Set;After Winning 1st Set;After Losing 1st Set;Tie-Breaks;Deciding Set Tie-Breaks;Outdoor;Indoor;Best of 3;Best of 5;Vs No. 1;Vs Top 5;Vs Top 10;Vs Top 20;Vs Top 50;Vs Top 100;Final;For Bronze Medal;Semi-Final;Quarter-Final;Round of 16;Round of 32;Round of 64;Round of 128;Round-Robin;Very Fast;Fast;Medium Fast;Medium;Medium Slow;Slow;Very Slow;Best of 3: 2:0;Best of 3: 2:1;Best of 3: 1:2;Best of 3: 0:2;Best of 5: 3:0;Best of 5: 3:1;Best of 5: 3:2;Best of 5: 2:3;Best of 5: 1:3;Best of 5: 0:3;Win;Final;Semi-Final;Quarter-Final;Round of 16;Round of 32;Round of 64;Round of 128;Round-Robin
44826;48.5% (16-17);56.0% (14-11);72.7% (8-3);;40.0% (2-3);;56.0% (14-11);;58.8% (10-7);54.5% (12-10);;48.0% (12-13);;80.5% (33-8);17.9% (5-23);69.4% (25-11);50.0% (2-2);57.1% (36-27);33.3% (2-4);56.3% (36-28);40.0% (2-3);;0.0% (0-2);22.2% (2-7);50.0% (9-9);47.1% (16-18);53.3% (32-28);0.0% (0-3);;50.0% (2-2);71.4% (5-2);50.0% (7-7);52.2% (12-11);66.7% (8-4);66.7% (4-2);;54.2% (13-11);50.0% (6-6);64.3% (9-5);50.0% (4-4);50.0% (1-1);62.5% (5-3);0.0% (0-1);35.5% (22/62);19.4% (12/62);21.0% (13/62);24.2% (15/62);;50.0% (2/4);;;;50.0% (2/4);;0.0% (0-3);50.0% (2-2);71.4% (5-2);50.0% (7-7);52.2% (12-11);66.7% (8-4);66.7% (4-2);
6284;54.1% (79-67);54.8% (34-28);58.1% (18-13);;56.6% (30-23);;45.3% (29-35);;53.7% (22-19);61.4% (43-27);63.6% (7-4);62.0% (44-27);69.2% (9-4);87.9% (102-14);23.6% (29-94);54.4% (74-62);81.8% (9-2);53.8% (100-86);58.5% (31-22);54.0% (95-81);57.1% (36-27);0.0% (0-5);8.3% (1-11);27.3% (6-16);37.7% (20-33);45.2% (56-68);51.6% (99-93);55.6% (5-4);;52.9% (9-8);66.7% (16-8);56.8% (25-19);47.7% (31-34);52.3% (23-21);60.0% (15-10);;60.3% (44-29);43.2% (19-25);54.8% (23-19);50.0% (15-15);53.8% (14-12);62.5% (5-3);80.0% (4-1);32.7% (56/171);20.5% (35/171);13.5% (23/171);33.3% (57/171);20.6% (13/63);22.2% (14/63);14.3% (9/63);6.3% (4/63);19.0% (12/63);17.5% (11/63);4.6% (5/109);55.6% (5-4);52.9% (9-8);66.7% (16-8);56.8% (25-19);47.7% (31-34);52.3% (23-21);60.0% (15-10);
25898;52.5% (62-56);48.4% (15-16);57.1% (4-3);;54.5% (12-10);;40.0% (12-18);;57.6% (19-14);54.0% (34-29);50.0% (4-4);60.9% (28-18);40.0% (2-3);88.0% (66-9);18.5% (15-66);41.7% (30-42);80.0% (4-1);52.5% (63-57);50.0% (18-18);51.9% (67-62);51.9% (14-13);0.0% (0-2);22.2% (2-7);25.0% (4-12);32.3% (10-21);43.2% (38-50);48.9% (67-70);50.0% (2-2);;80.0% (4-1);31.3% (5-11);50.0% (16-16);58.0% (29-21);44.4% (12-15);64.3% (9-5);;48.5% (16-17);51.9% (14-13);50.0% (18-18);58.8% (20-14);33.3% (3-6);66.7% (6-3);;30.7% (39/127);20.5% (26/127);11.8% (15/127);37.0% (47/127);23.1% (6/26);19.2% (5/26);7.7% (2/26);11.5% (3/26);15.4% (4/26);23.1% (6/26);2.7% (2/75);50.0% (2-2);80.0% (4-1);31.3% (5-11);50.0% (16-16);58.0% (29-21);44.4% (12-15);64.3% (9-5);
5324;46.3% (112-130);52.3% (79-72);50.0% (23-23);;52.6% (40-36);;42.4% (39-53);50.0% (1-1);42.0% (34-47);52.9% (99-88);100.0% (1-0);49.0% (77-80);52.6% (10-9);84.2% (165-31);20.2% (49-194);52.9% (108-96);36.0% (9-16);49.7% (176-178);44.7% (38-47);47.8% (173-189);53.2% (41-36);0.0% (0-5);12.5% (3-21);13.3% (6-39);23.3% (20-66);39.6% (78-119);45.4% (162-195);37.5% (3-5);;34.8% (8-15);65.7% (23-12);42.7% (35-47);42.4% (67-91);56.3% (49-38);62.2% (28-17);;43.0% (40-53);48.4% (44-47);52.4% (43-39);52.2% (36-33);49.4% (38-39);50.0% (12-12);0.0% (0-2);29.0% (102/352);19.0% (67/352);20.2% (71/352);31.8% (112/352);20.3% (15/74);17.6% (13/74);13.5% (10/74);12.2% (9/74);17.6% (13/74);18.9% (14/74);1.3% (3/228);37.5% (3-5);34.8% (8-15);65.7% (23-12);42.7% (35-47);42.4% (67-91);56.3% (49-38);62.2% (28-17);
5539;40.0% (36-54);56.3% (58-45);44.4% (8-10);;41.7% (15-21);;37.8% (14-23);0.0% (0-1);46.2% (12-14);55.3% (57-46);50.0% (4-4);52.4% (44-40);54.5% (6-5);76.2% (77-24);22.7% (25-85);48.7% (55-58);52.6% (10-9);48.6% (90-95);46.2% (12-14);50.0% (84-84);41.9% (18-25);0.0% (0-2);10.0% (1-9);23.5% (4-13);37.0% (17-29);33.3% (32-64);43.4% (69-90);20.0% (1-4);;50.0% (5-5);45.5% (10-12);66.7% (22-11);46.3% (31-36);41.7% (15-21);46.7% (14-16);;45.5% (20-24);43.5% (10-13);33.3% (10-20);48.9% (22-23);58.8% (30-21);50.0% (3-3);75.0% (3-1);26.5% (44/166);22.9% (38/166);21.1% (35/166);29.5% (49/166);16.7% (7/42);11.9% (5/42);14.3% (6/42);11.9% (5/42);16.7% (7/42);28.6% (12/42);0.9% (1/107);20.0% (1-4);50.0% (5-5);45.5% (10-12);66.7% (22-11);46.3% (31-36);41.7% (15-21);46.7% (14-16);
5918;48.6% (53-56);50.8% (30-29);36.8% (7-12);0.0% (0-1);46.9% (15-17);;37.8% (14-23);0.0% (0-1);62.9% (22-13);47.4% (37-41);57.1% (4-3);49.3% (34-35);83.3% (5-1);77.4% (72-21);20.6% (20-77);60.0% (48-32);20.0% (1-4);48.4% (74-79);48.6% (18-19);47.7% (73-80);51.4% (19-18);0.0% (0-2);22.2% (2-7);23.5% (4-13);32.4% (12-25);39.8% (33-50);42.9% (63-84);60.0% (3-2);;55.6% (5-4);52.9% (9-8);48.6% (17-18);45.5% (30-36);50.0% (15-15);42.9% (9-12);;40.0% (20-30);50.0% (17-17);53.8% (21-18);50.0% (15-15);56.5% (13-10);0.0% (0-1);33.3% (2-4);28.8% (42/146);19.9% (29/146);23.3% (34/146);28.1% (41/146);18.9% (7/37);18.9% (7/37);13.5% (5/37);2.7% (1/37);27.0% (10/37);18.9% (7/37);3.1% (3/98);60.0% (3-2);55.6% (5-4);52.9% (9-8);48.6% (17-18);45.5% (30-36);50.0% (15-15);42.9% (9-12);
5793;54.9% (89-73);52.9% (81-72);20.0% (2-8);;56.4% (31-24);0.0% (0-2);45.6% (31-37);;51.0% (25-24);56.8% (83-63);40.0% (2-3);45.7% (48-57);27.3% (3-8);78.8% (145-39);18.0% (25-114);50.3% (78-77);61.9% (13-8);53.7% (153-132);47.5% (19-21);52.6% (140-126);54.2% (32-27);0.0% (0-1);5.9% (1-16);12.5% (4-28);23.0% (14-47);40.6% (65-95);47.9% (124-135);57.1% (4-3);;33.3% (7-14);50.0% (21-21);62.1% (41-25);53.5% (53-46);54.7% (29-24);50.0% (15-15);0.0% (0-2);50.0% (27-27);45.5% (15-18);50.0% (29-29);64.5% (49-27);47.9% (34-37);56.0% (14-11);66.7% (2-1);34.5% (88/255);17.6% (45/255);19.2% (49/255);28.6% (73/255);27.8% (15/54);22.2% (12/54);5.6% (3/54);14.8% (8/54);11.1% (6/54);18.5% (10/54);2.6% (4/153);57.1% (4-3);33.3% (7-14);50.0% (21-21);62.1% (41-25);53.5% (53-46);54.7% (29-24);50.0% (15-15);0.0% (0-2)
6418;51.2% (83-79);57.0% (49-37);52.4% (11-10);;51.3% (20-19);;54.7% (47-39);0.0% (0-1);57.4% (27-20);49.4% (39-40);58.8% (10-7);54.6% (53-44);50.0% (4-4);80.6% (104-25);27.9% (39-101);51.3% (61-58);78.9% (15-4);54.7% (127-105);43.2% (16-21);53.1% (113-100);53.6% (30-26);50.0% (2-2);32.0% (8-17);28.6% (12-30);30.6% (22-50);44.1% (67-85);51.9% (124-115);33.3% (2-4);;50.0% (6-6);41.4% (12-17);58.3% (28-20);48.2% (40-43);61.7% (29-18);59.3% (16-11);;53.2% (33-29);42.6% (20-27);62.1% (36-22);51.2% (21-20);55.9% (19-15);50.0% (4-4);0.0% (0-2);29.3% (60/205);23.9% (49/205);19.5% (40/205);27.3% (56/205);27.8% (15/54);18.5% (10/54);7.4% (4/54);7.4% (4/54);13.0% (7/54);25.9% (14/54);1.6% (2/123);33.3% (2-4);50.0% (6-6);41.4% (12-17);58.3% (28-20);48.2% (40-43);61.7% (29-18);59.3% (16-11);
4541;68.6% (313-143);63.6% (89-51);68.9% (51-23);75.0% (9-3);73.3% (121-44);36.4% (4-7);61.1% (121-77);66.7% (4-2);59.7% (46-31);74.6% (144-49);70.0% (21-9);62.3% (124-75);59.3% (16-11);88.4% (375-49);34.0% (88-171);58.5% (227-161);56.3% (18-14);66.8% (326-162);70.3% (137-58);66.0% (324-167);72.4% (139-53);21.4% (3-11);23.5% (19-62);33.8% (45-88);40.5% (83-122);56.9% (227-172);64.8% (384-209);60.0% (18-12);;51.8% (29-27);56.7% (55-42);66.2% (98-50);70.3% (123-52);81.3% (74-17);90.9% (40-4);33.3% (3-6);69.8% (141-61);68.7% (92-42);66.7% (84-42);67.3% (72-35);68.4% (39-18);57.1% (12-9);33.3% (2-4);43.6% (207/475);22.7% (108/475);13.5% (64/475);20.2% (96/475);45.2% (84/186);20.4% (38/186);8.6% (16/186);5.9% (11/186);9.1% (17/186);10.8% (20/186);7.9% (18/227);60.0% (18-12);51.8% (29-27);56.7% (55-42);66.2% (98-50);70.3% (123-52);81.3% (74-17);90.9% (40-4);33.3% (3-6)
6387;66.0% (105-54);56.8% (25-19);61.1% (22-14);;60.7% (37-24);;59.2% (42-29);;72.7% (32-12);62.7% (32-19);64.3% (9-5);55.7% (39-31);75.0% (6-2);83.3% (130-26);25.9% (22-63);58.8% (104-73);56.3% (9-7);63.1% (140-82);63.2% (12-7);63.9% (108-61);61.1% (44-28);50.0% (1-1);40.7% (11-16);40.0% (20-30);43.0% (34-45);55.2% (80-65);61.5% (128-80);66.7% (6-3);;50.0% (9-9);75.0% (18-6);55.8% (24-19);58.3% (35-25);66.7% (32-16);76.0% (19-6);;61.2% (41-26);69.1% (38-17);66.7% (34-17);57.6% (19-14);52.4% (11-10);;;44.9% (71/158);20.9% (33/158);18.4% (29/158);15.8% (25/158);35.7% (25/70);18.6% (13/70);8.6% (6/70);2.9% (2/70);15.7% (11/70);18.6% (13/70);6.5% (6/92);66.7% (6-3);50.0% (9-9);75.0% (18-6);55.8% (24-19);58.3% (35-25);66.7% (32-16);76.0% (19-6);
24021;55.4% (31-25);20.0% (2-8);40.0% (2-3);;44.4% (4-5);;40.0% (6-9);;53.8% (7-6);52.9% (18-16);;41.9% (13-18);33.3% (1-2);74.3% (26-9);25.0% (9-27);48.6% (36-38);40.0% (4-6);44.1% (26-33);75.0% (9-3);50.0% (31-31);44.4% (4-5);;0.0% (0-2);50.0% (4-4);47.4% (9-10);48.6% (18-19);47.4% (27-30);100.0% (1-0);;20.0% (1-4);83.3% (5-1);50.0% (6-6);44.0% (11-14);53.8% (7-6);44.4% (4-5);;68.0% (17-8);42.9% (6-8);47.4% (9-10);25.0% (2-6);0.0% (0-3);50.0% (1-1);;28.8% (17/59);20.3% (12/59);27.1% (16/59);23.7% (14/59);11.1% (1/9);22.2% (2/9);11.1% (1/9);22.2% (2/9);;33.3% (3/9);2.7% (1/37);100.0% (1-0);20.0% (1-4);83.3% (5-1);50.0% (6-6);44.0% (11-14);53.8% (7-6);44.4% (4-5);
5670;69.2% (229-102);64.0% (64-36);70.0% (49-21);;72.8% (83-31);33.3% (2-4);64.0% (110-62);50.0% (1-1);67.0% (61-30);72.6% (69-26);76.2% (16-5);59.1% (78-54);52.9% (9-8);87.9% (298-41);27.2% (44-118);62.1% (216-132);69.4% (25-11);68.8% (286-130);65.9% (56-29);66.2% (243-124);73.9% (99-35);0.0% (0-8);23.4% (11-36);31.5% (28-61);43.2% (60-79);58.1% (158-114);66.2% (276-141);38.1% (8-13);;56.8% (21-16);54.8% (40-33);64.5% (71-39);74.4% (93-32);80.5% (62-15);90.6% (29-3);40.0% (2-3);67.2% (82-40);68.4% (78-36);69.5% (73-32);65.3% (47-25);71.7% (33-13);61.1% (11-7);66.7% (2-1);47.6% (171/359);19.2% (69/359);12.8% (46/359);20.3% (73/359);48.5% (64/132);18.9% (25/132);6.8% (9/132);6.1% (8/132);9.8% (13/132);9.8% (13/132);4.7% (8/170);38.1% (8-13);56.8% (21-16);54.8% (40-33);64.5% (71-39);74.4% (93-32);80.5% (62-15);90.6% (29-3);40.0% (2-3)
26007;50.0% (56-56);51.9% (14-13);43.5% (10-13);;36.4% (8-14);;44.1% (15-19);;36.8% (7-12);57.5% (50-37);;50.0% (28-28);20.0% (1-4);81.3% (61-14);21.8% (19-68);57.6% (49-36);71.4% (5-2);49.3% (70-72);50.0% (10-10);51.4% (72-68);36.4% (8-14);0.0% (0-2);0.0% (0-6);22.2% (4-14);25.8% (8-23);36.5% (27-47);44.4% (56-70);25.0% (1-3);;57.1% (4-3);43.8% (7-9);55.6% (15-12);44.8% (26-32);60.7% (17-11);45.5% (10-12);1.2% (1/84);40.0% (16-24);50.0% (12-12);54.0% (27-23);56.3% (18-14);41.7% (5-7);50.0% (2-2);;31.7% (44/139);19.4% (27/139);17.3% (24/139);31.7% (44/139);19.0% (4/21);9.5% (2/21);4.8% (1/21);19.0% (4/21);23.8% (5/21);23.8% (5/21);1.2% (1/84);25.0% (1-3);57.1% (4-3);43.8% (7-9);55.6% (15-12);44.8% (26-32);60.7% (17-11);45.5% (10-12);1.2% (1/84)
6412;40.7% (11-16);62.8% (27-16);28.6% (2-5);;25.0% (2-6);;60.0% (6-4);;33.3% (3-6);62.5% (20-12);47.4% (9-10);57.1% (12-9);50.0% (2-2);77.5% (31-9);23.7% (9-29);50.0% (21-21);66.7% (4-2);49.3% (33-34);63.6% (7-4);55.9% (33-26);36.8% (7-12);;100.0% (1-0);50.0% (1-1);41.7% (5-7);45.2% (14-17);45.1% (23-28);66.7% (2-1);;100.0% (3-0);50.0% (3-3);46.2% (6-7);52.4% (11-10);57.1% (4-3);33.3% (2-4);;48.0% (12-13);50.0% (2-2);40.0% (2-3);60.0% (6-4);63.6% (7-4);50.0% (1-1);50.0% (1-1);39.7% (23/58);17.2% (10/58);12.1% (7/58);31.0% (18/58);15.8% (3/19);10.5% (2/19);10.5% (2/19);10.5% (2/19);31.6% (6/19);21.1% (4/19);6.7% (2/30);66.7% (2-1);100.0% (3-0);50.0% (3-3);46.2% (6-7);52.4% (11-10);57.1% (4-3);33.3% (2-4);
5571;39.5% (45-69);51.1% (69-66);25.0% (4-12);;41.0% (16-23);;43.2% (19-25);;39.4% (13-20);45.5% (61-73);56.3% (9-7);47.1% (40-45);10.0% (1-9);75.2% (100-33);14.2% (19-115);39.4% (41-63);41.7% (5-7);45.9% (106-125);36.1% (13-23);45.6% (99-118);40.0% (20-30);0.0% (0-3);10.0% (1-9);20.0% (4-16);17.4% (8-38);25.6% (32-93);33.0% (65-132);50.0% (1-1);;33.3% (2-4);25.0% (6-18);47.1% (24-27);47.4% (46-51);33.3% (12-24);52.9% (18-16);;19.4% (6-25);43.2% (16-21);44.0% (22-28);49.0% (25-26);52.5% (32-29);50.0% (8-8);20.0% (1-4);26.3% (54/205);19.0% (39/205);17.6% (36/205);37.1% (76/205);29.2% (14/48);8.3% (4/48);2.1% (1/48);18.8% (9/48);20.8% (10/48);20.8% (10/48);0.7% (1/142);50.0% (1-1);33.3% (2-4);25.0% (6-18);47.1% (24-27);47.4% (46-51);33.3% (12-24);52.9% (18-16);
5515;47.6% (68-75);46.2% (42-49);37.5% (12-20);;37.5% (15-25);;52.0% (26-24);0.0% (0-1);37.0% (17-29);49.2% (60-62);57.1% (4-3);47.4% (45-50);58.3% (7-5);75.4% (92-30);20.8% (30-114);42.8% (62-83);52.4% (11-10);43.1% (87-115);54.7% (35-29);47.3% (104-116);39.1% (18-28);0.0% (0-1);25.0% (3-9);25.0% (6-18);25.0% (15-45);37.0% (51-87);42.4% (89-121);;;0.0% (0-7);36.8% (7-12);35.2% (19-35);51.9% (54-50);57.1% (24-18);42.4% (14-19);;48.7% (37-39);36.8% (14-24);45.7% (21-25);50.0% (24-24);41.2% (14-20);46.2% (6-7);50.0% (2-2);28.4% (61/215);17.7% (38/215);20.9% (45/215);33.0% (71/215);19.6% (9/46);4.3% (2/46);15.2% (7/46);10.9% (5/46);21.7% (10/46);28.3% (13/46);;;0.0% (0-7);36.8% (7-12);35.2% (19-35);51.9% (54-50);57.1% (24-18);42.4% (14-19);
27835;47.9% (23-25);35.7% (5-9);50.0% (4-4);;36.4% (4-7);;54.5% (12-10);;40.0% (4-6);47.1% (8-9);40.0% (4-6);45.0% (9-11);0.0% (0-1);77.1% (27-8);14.3% (5-30);41.0% (16-23);0.0% (0-3);48.4% (31-33);16.7% (1-5);50.9% (28-27);26.7% (4-11);0.0% (0-2);28.6% (2-5);33.3% (4-8);26.3% (5-14);38.9% (14-22);39.3% (22-34);100.0% (1-0);;100.0% (1-0);25.0% (1-3);50.0% (4-4);36.4% (8-14);53.3% (8-7);55.6% (5-4);2.9% (1/34);33.3% (7-14);45.5% (5-6);64.3% (9-5);66.7% (6-3);25.0% (1-3);0.0% (0-1);;33.3% (18/54);16.7% (9/54);18.5% (10/54);31.5% (17/54);;21.4% (3/14);;7.1% (1/14);28.6% (4/14);42.9% (6/14);2.9% (1/34);100.0% (1-0);100.0% (1-0);25.0% (1-3);50.0% (4-4);36.4% (8-14);53.3% (8-7);55.6% (5-4);2.9% (1/34)
11485;19.2% (5-21);60.0% (33-22);20.0% (1-4);;30.8% (4-9);;33.3% (4-8);;50.0% (4-4);52.0% (26-24);33.3% (1-2);69.6% (16-7);0.0% (0-1);81.6% (31-7);16.7% (8-40);48.1% (26-28);80.0% (4-1);48.6% (35-37);28.6% (4-10);48.6% (34-36);31.3% (5-11);;;50.0% (2-2);27.3% (3-8);42.9% (15-20);43.8% (28-36);100.0% (1-0);;0.0% (0-6);77.8% (7-2);56.3% (9-7);46.7% (14-16);36.4% (4-7);30.0% (3-7);;29.4% (5-12);33.3% (4-8);30.8% (4-9);53.3% (8-7);53.8% (7-6);77.8% (7-2);75.0% (3-1);25.4% (17/67);23.9% (16/67);9.0% (6/67);41.8% (28/67);13.3% (2/15);13.3% (2/15);;6.7% (1/15);26.7% (4/15);40.0% (6/15);2.2% (1/46);100.0% (1-0);0.0% (0-6);77.8% (7-2);56.3% (9-7);46.7% (14-16);36.4% (4-7);30.0% (3-7);
5220;65.3% (307-163);62.2% (122-74);70.1% (68-29);44.4% (4-5);72.1% (119-46);16.7% (2-10);53.9% (111-95);57.1% (4-3);65.4% (87-46);71.3% (149-60);72.5% (29-11);58.1% (140-101);63.0% (29-17);86.3% (417-66);29.1% (84-205);53.9% (199-170);47.6% (10-11);64.9% (398-215);64.8% (103-56);62.3% (355-215);72.3% (146-56);14.3% (2-12);16.4% (11-56);28.3% (32-81);38.1% (77-125);52.2% (225-206);61.1% (384-244);56.3% (18-14);;57.1% (32-24);52.9% (55-49);65.8% (106-55);67.7% (134-64);68.9% (82-37);86.0% (43-7);16.7% (2-10);66.9% (119-59);62.1% (87-53);64.0% (103-58);64.3% (74-41);67.7% (63-30);60.7% (17-11);52.9% (9-8);42.0% (236/562);19.8% (111/562);14.9% (84/562);23.3% (131/562);42.3% (83/196);14.3% (28/196);14.8% (29/196);8.7% (17/196);7.7% (15/196);12.2% (24/196);6.5% (18/275);56.3% (18-14);57.1% (32-24);52.9% (55-49);65.8% (106-55);67.7% (134-64);68.9% (82-37);86.0% (43-7);16.7% (2-10)
5922;50.6% (45-44);45.7% (16-19);0.0% (0-3);;27.8% (5-13);;48.1% (13-14);;54.2% (13-11);52.9% (27-24);66.7% (4-2);48.7% (19-20);100.0% (3-0);77.3% (51-15);17.7% (11-51);44.2% (19-24);42.9% (3-4);44.8% (39-48);56.1% (23-18);51.9% (55-51);31.8% (7-15);0.0% (0-1);12.5% (1-7);7.1% (1-13);28.6% (8-20);40.0% (24-36);42.4% (42-57);0.0% (0-3);;60.0% (3-2);36.4% (4-7);50.0% (12-12);58.5% (24-17);50.0% (9-9);33.3% (6-12);;40.0% (12-18);60.9% (14-9);41.7% (10-14);55.0% (11-9);44.4% (8-10);42.9% (3-4);;36.3% (37/102);15.7% (16/102);19.6% (20/102);28.4% (29/102);15.8% (3/19);5.3% (1/19);15.8% (3/19);;42.1% (8/19);21.1% (4/19);;0.0% (0-3);60.0% (3-2);36.4% (4-7);50.0% (12-12);58.5% (24-17);50.0% (9-9);33.3% (6-12);
5070;37.7% (61-101);54.7% (141-117);33.3% (6-12);;38.9% (21-33);;49.5% (48-49);0.0% (0-1);42.7% (32-43);50.0% (102-102);71.4% (5-2);49.0% (73-76);58.3% (7-5);79.2% (160-42);20.3% (48-188);42.4% (78-106);42.9% (6-8);48.7% (190-200);37.5% (18-30);48.7% (185-195);39.7% (23-35);20.0% (1-4);9.1% (2-20);13.6% (6-38);21.3% (20-74);32.2% (65-137);40.1% (140-209);25.0% (2-6);;53.3% (8-7);34.9% (15-28);46.7% (42-48);44.9% (71-87);58.1% (43-31);51.2% (22-21);;38.0% (19-31);41.8% (23-32);37.3% (25-42);48.8% (42-44);54.5% (60-50);50.0% (23-23);64.7% (11-6);30.2% (113/374);17.4% (65/374);19.3% (72/374);33.2% (124/374);17.5% (10/57);8.8% (5/57);12.3% (7/57);8.8% (5/57);12.3% (7/57);40.4% (23/57);0.9% (2/230);25.0% (2-6);53.3% (8-7);34.9% (15-28);46.7% (42-48);44.9% (71-87);58.1% (43-31);51.2% (22-21);
5543;48.1% (38-41);30.8% (4-9);42.3% (11-15);;51.9% (14-13);;25.0% (3-9);;40.0% (6-9);53.5% (23-20);33.3% (7-14);42.9% (18-24);28.6% (2-5);72.9% (43-16);16.9% (10-49);51.6% (32-30);71.4% (5-2);45.0% (49-60);44.4% (4-5);45.9% (34-40);43.2% (19-25);;0.0% (0-6);25.0% (3-9);20.8% (5-19);36.4% (20-35);43.0% (40-53);0.0% (0-2);;66.7% (2-1);60.0% (3-2);35.7% (5-9);41.2% (14-20);59.1% (13-9);52.9% (9-8);;41.2% (14-20);61.5% (16-10);50.0% (9-9);33.3% (5-10);66.7% (2-1);;0.0% (0-1);24.3% (18/74);21.6% (16/74);25.7% (19/74);28.4% (21/74);22.7% (10/44);15.9% (7/44);4.5% (2/44);11.4% (5/44);22.7% (10/44);22.7% (10/44);;0.0% (0-2);66.7% (2-1);60.0% (3-2);35.7% (5-9);41.2% (14-20);59.1% (13-9);52.9% (9-8);
5166;46.3% (126-146);26.4% (14-39);59.0% (49-34);;42.6% (29-39);;41.4% (36-51);;40.0% (18-27);51.0% (105-101);50.0% (1-1);48.9% (64-67);72.7% (8-3);79.1% (140-37);20.9% (48-182);43.4% (76-99);52.9% (9-8);47.6% (152-167);41.6% (37-52);47.0% (159-179);42.9% (30-40);0.0% (0-1);7.1% (1-13);12.5% (5-35);18.0% (16-73);33.7% (62-122);39.2% (120-186);11.1% (1-8);;60.0% (9-6);41.7% (15-21);45.1% (37-45);48.9% (67-70);41.6% (32-45);54.0% (27-23);;49.5% (53-54);50.5% (53-52);44.8% (39-48);42.6% (26-35);41.7% (15-21);0.0% (0-6);50.0% (2-2);29.8% (99/332);16.9% (56/332);19.3% (64/332);34.0% (113/332);17.9% (12/67);11.9% (8/67);11.9% (8/67);4.5% (3/67);11.9% (8/67);41.8% (28/67);0.5% (1/220);11.1% (1-8);60.0% (9-6);41.7% (15-21);45.1% (37-45);48.9% (67-70);41.6% (32-45);54.0% (27-23);
5016;56.3% (250-194);45.4% (49-59);64.2% (68-38);0.0% (0-2);53.7% (58-50);;47.0% (71-80);0.0% (0-1);56.2% (50-39);60.8% (175-113);52.6% (10-9);47.6% (109-120);41.2% (7-10);76.5% (300-92);24.8% (67-203);49.1% (186-193);40.5% (17-25);55.5% (319-256);55.2% (48-39);56.0% (302-237);52.8% (65-58);16.7% (2-10);17.1% (6-29);25.3% (21-62);28.0% (45-116);40.1% (127-190);50.2% (263-261);52.6% (10-9);;50.0% (19-19);58.2% (39-28);51.6% (66-62);55.3% (110-89);56.9% (66-50);62.1% (41-25);75.0% (3-1);58.9% (89-62);55.4% (67-54);53.5% (83-72);54.2% (64-54);56.1% (37-29);52.0% (13-12);57.1% (4-3);35.8% (187/523);19.5% (102/523);21.0% (110/523);23.7% (124/523);27.7% (33/119);19.3% (23/119);5.9% (7/119);8.4% (10/119);24.4% (29/119);14.3% (17/119);3.4% (10/294);52.6% (10-9);50.0% (19-19);58.2% (39-28);51.6% (66-62);55.3% (110-89);56.9% (66-50);62.1% (41-25);75.0% (3-1)
4654;41.7% (58-81);60.5% (153-100);41.2% (7-10);50.0% (1-1);38.9% (21-33);;42.5% (31-42);50.0% (1-1);50.7% (38-37);58.3% (102-73);81.3% (26-6);49.3% (66-68);33.3% (5-10);82.5% (179-38);20.6% (40-154);54.2% (104-88);54.5% (12-10);53.5% (191-166);51.9% (28-26);54.1% (180-153);50.0% (39-39);0.0% (0-1);25.0% (3-9);20.0% (5-20);30.5% (18-41);38.9% (70-110);46.2% (139-162);60.0% (6-4);;47.6% (10-11);48.8% (21-22);53.1% (43-38);55.8% (67-53);38.5% (25-40);53.8% (21-18);;36.4% (16-28);44.7% (17-21);46.4% (32-37);50.0% (39-39);60.4% (58-38);55.0% (22-18);64.3% (9-5);35.2% (114/324);18.8% (61/324);17.9% (58/324);28.1% (91/324);32.4% (24/74);10.8% (8/74);6.8% (5/74);13.5% (10/74);10.8% (8/74);25.7% (19/74);3.1% (6/192);60.0% (6-4);47.6% (10-11);48.8% (21-22);53.1% (43-38);55.8% (67-53);38.5% (25-40);53.8% (21-18);
5420;42.3% (41-56);43.8% (21-27);50.0% (7-7);0.0% (0-1);34.6% (9-17);;43.5% (10-13);50.0% (1-1);33.3% (3-6);42.2% (35-48);71.4% (15-6);46.2% (24-28);63.6% (7-4);71.6% (53-21);22.2% (20-70);52.1% (37-34);55.6% (5-4);43.9% (58-74);46.9% (15-17);42.0% (50-69);51.1% (23-22);;0.0% (0-2);0.0% (0-7);18.2% (4-18);26.7% (16-44);37.4% (43-72);100.0% (1-0);;20.0% (1-4);71.4% (5-2);28.0% (7-18);40.3% (25-37);45.0% (9-11);43.5% (10-13);;54.1% (20-17);43.5% (10-13);20.7% (6-23);46.9% (15-17);30.8% (4-9);33.3% (2-4);33.3% (1-2);27.1% (32/118);14.4% (17/118);20.3% (24/118);38.1% (45/118);13.6% (6/44);20.5% (9/44);15.9% (7/44);9.1% (4/44);22.7% (10/44);18.2% (8/44);1.2% (1/86);100.0% (1-0);20.0% (1-4);71.4% (5-2);28.0% (7-18);40.3% (25-37);45.0% (9-11);43.5% (10-13);
